book_id,openlibrary_work_key,status,edition_rows,reported_size,error
BOOK00183,/works/OL5830316W,success,4,4.0,
BOOK00184,/works/OL31272706W,success,1,1.0,
BOOK00185,/works/OL2924417W,success,2,2.0,
BOOK00186,/works/OL8657209W,success,1,1.0,
BOOK00187,/works/OL40036856W,success,1,1.0,
BOOK00188,/works/OL25020688W,success,8,8.0,
BOOK00189,/works/OL20000938W,success,5,5.0,
BOOK00190,/works/OL21286448W,success,2,2.0,
BOOK00191,/works/OL9897459W,success,1,1.0,
BOOK00192,/works/OL3033847W,success,1,1.0,
BOOK00193,/works/OL2421709W,success,3,3.0,
BOOK00194,/works/OL23862631W,success,3,3.0,
BOOK00195,/works/OL16509538W,success,9,9.0,
BOOK00196,/works/OL3476508W,success,2,2.0,
BOOK00197,/works/OL29761359W,success,4,4.0,
BOOK00198,/works/OL21153306W,success,2,2.0,
BOOK00199,/works/OL21127180W,success,5,5.0,
BOOK00200,/works/OL19968818W,success,6,6.0,
BOOK00201,/works/OL23259812W,success,1,1.0,
BOOK00202,/works/OL16500699W,success,1,1.0,
BOOK00203,/works/OL18185438W,success,1,1.0,
BOOK00204,/works/OL11651359W,success,1,1.0,
BOOK00205,/works/OL28735935W,success,1,1.0,
BOOK00206,/works/OL21710386W,success,3,3.0,
BOOK00207,/works/OL36733507W,success,4,4.0,
BOOK00208,/works/OL19718601W,success,2,2.0,
BOOK00209,/works/OL9372006W,success,11,11.0,
BOOK00210,/works/OL16167822W,success,3,3.0,
BOOK00211,/works/OL2953791W,success,1,1.0,
BOOK00212,/works/OL37836630W,success,3,3.0,
BOOK00213,/works/OL2720383W,success,2,2.0,
BOOK00214,/works/OL8994178W,success,1,1.0,
BOOK00215,/works/OL5957923W,success,1,1.0,
BOOK00216,/works/OL21076591W,success,1,1.0,
BOOK00217,/works/OL24205378W,success,3,3.0,
BOOK00218,/works/OL25326177W,success,2,2.0,
BOOK00219,/works/OL4641084W,success,1,1.0,
BOOK00220,/works/OL2615445W,success,2,2.0,
BOOK00221,/works/OL23234902W,success,3,3.0,
BOOK00222,/works/OL16144446W,success,1,1.0,
BOOK00223,/works/OL21583154W,success,3,3.0,
BOOK00224,/works/OL24587375W,success,3,3.0,
