book_id,openlibrary_work_key,canonical_title,edition_key,edition_title,full_title,edition_name,publish_date,publish_country,publish_places,publishers,languages,isbn_10,isbn_13,number_of_pages,physical_format
BOOK00873,/works/OL29879455W,Emotional Intelligence,/books/OL41084303M,Emotional Intelligence,Emotional Intelligence Working with Emotional Intelligence,,2019,,,['Independently Published'],['eng'],,['9781090693839'],,
BOOK00874,/works/OL19386837W,Emotional intelligence,/books/OL49424168M,Emotional Intelligence,Emotional Intelligence An International Handbook,,2005,,,['Hogrefe Publishing'],['eng'],,['9781616762834'],,
BOOK00874,/works/OL19386837W,Emotional intelligence,/books/OL8213356M,Emotional Intelligence,,,"June 30, 2005",,,['Hogrefe & Huber Publishing'],['eng'],['0889372837'],['9780889372832'],365.0,Hardcover
BOOK00874,/works/OL19386837W,Emotional intelligence,/books/OL3316537M,Emotional intelligence,,,2005,mau,"['Cambridge, MA']",['Hogrefe & Huber Publishers'],['eng'],['0889372837'],,365.0,
BOOK00875,/works/OL42452378W,Who's Talking?,/books/OL57608435M,Who's Talking,Who's Talking A Roadmap to Emotional Intelligence and Self Mastery,,2025,,,['Christopher Hinton'],['eng'],,['9798218580339'],,
BOOK00875,/works/OL42452378W,Who's Talking?,/books/OL57605432M,Who's Talking?,,,2025,,,['Christopher Hinton'],['eng'],,['9798218580322'],184.0,Paperback
BOOK00876,/works/OL29915337W,Emotional Intelligence,/books/OL41473304M,Emotional Intelligence,"Emotional Intelligence Analyze People, NLP and Persuasion",,2019,,,['Independently Published'],['eng'],,['9781693035043'],,
BOOK00876,/works/OL29915337W,Emotional Intelligence,/books/OL41454792M,Emotional Intelligence,Emotional Intelligence Analyze People and Raise Your EQ,,2019,,,['Independently Published'],['eng'],,['9781081010478'],,
BOOK00876,/works/OL29915337W,Emotional Intelligence,/books/OL41428367M,Emotional Intelligence,Emotional Intelligence Emotional Mastery & Influence,,2019,,,['Independently Published'],['eng'],,['9781082112065'],,
BOOK00876,/works/OL29915337W,Emotional Intelligence,/books/OL41275883M,Emotional Intelligence,Emotional Intelligence Emotional Mastery and Influence,,2019,,,"['Independently Published', 'Independently published']",['eng'],,['9781082069635'],549.0,
BOOK00876,/works/OL29915337W,Emotional Intelligence,/books/OL41225303M,Emotional Intelligence,Emotional Intelligence Happiness and EQ,,2019,,,['Independently Published'],['eng'],,['9781079316858'],,
BOOK00876,/works/OL29915337W,Emotional Intelligence,/books/OL41131372M,Emotional Intelligence,Emotional Intelligence Build Stronger Relationships and Become an Influential Leader,,2019,,,['Independently Published'],['eng'],,['9781092551762'],,
BOOK00877,/works/OL17000415W,Emotional Intelligence for Dummies,/books/OL48632283M,Emotional Intelligence for Dummies,Emotional Intelligence for Dummies,,2009,,,"['Wiley & Sons Canada, Limited, John']",['eng'],,['9781282381193'],,
BOOK00877,/works/OL17000415W,Emotional Intelligence for Dummies,/books/OL39563805M,Emotional Intelligence for Dummies,Emotional Intelligence for Dummies,,2023,,,"['Wiley & Sons, Incorporated, John']",['eng'],,['9781119988168'],,
BOOK00877,/works/OL17000415W,Emotional Intelligence for Dummies,/books/OL39551933M,Emotional Intelligence for Dummies,Emotional Intelligence for Dummies,,2023,,,"['Wiley & Sons, Incorporated, John']",['eng'],,['9781119988175'],,
BOOK00877,/works/OL17000415W,Emotional Intelligence for Dummies,/books/OL25574577M,Emotional Intelligence for Dummies,Emotional Intelligence for Dummies,,2009,nju,['Hoboken'],"['For Dummies [Imprint]', 'John Wiley & Sons, Incorporated.']",['eng'],['0470157321'],['9780470157329'],,[electronic resource]
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL13138675M,Emotional Intelligence at Work,,,January 2001,,,['Response Publishing'],[],['8170369274'],['9788170369271'],198.0,Hardcover
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL9403742M,Emotional Intelligence at Work,,,"June 1, 2001",,,['Sage Publications Pvt. Ltd'],['eng'],['0761994564'],['9780761994565'],200.0,Hardcover
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL8031139M,Emotional Intelligence at Work,,,September 2000,,,['Sage Publications Pvt. Ltd'],['eng'],['0761994572'],['9780761994572'],200.0,Paperback
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL9636992M,Emotional Intelligence at Work,,,January 2001,,,['Response Publishing'],[],['8170369282'],['9788170369288'],198.0,Hardcover
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL17549229M,Emotional intelligence at work,,3rd rev. ed.,2006,ii ,"['New Delhi', 'Thousand Oaks, Calif']",['Response Books'],['eng'],['0761935320'],['9780761935322'],235.0,
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL8029727M,Emotional Intelligence at Work,,3Rev Ed edition,"November 14, 2006",,,['Sage Publications Pvt. Ltd'],['eng'],['0761935320'],['9780761935322'],196.0,Paperback
BOOK00878,/works/OL5969315W,Emotional Intelligence at Work,/books/OL3578468M,Emotional intelligence at work,,2nd ed.,2003,ii ,"['New Delhi', 'Thousand Oaks']","['Response Books, a Division of Sage Publications']",['eng'],['0761997490'],,296.0,
BOOK00879,/works/OL5844673W,The emotional intelligence quick book,/books/OL33367456M,Emotional Intelligence Quick Book,Emotional Intelligence Quick Book Everything You Need to Know to Put Your EQ to Work,,2006,,,"['Simon & Schuster, Limited']",['eng'],,['9781416548737'],208.0,
BOOK00879,/works/OL5844673W,The emotional intelligence quick book,/books/OL3421668M,The emotional intelligence quick book,,1st Fireside ed.,2005,nyu,['New York'],['Simon & Schuster'],['eng'],['0743273265'],,185.0,
BOOK00880,/works/OL468928W,Emotional intelligence at work,/books/OL29170770M,Emotional Intelligence at Work,Emotional Intelligence at Work,,2008,,,"['Wiley & Sons, Incorporated, John']",['eng'],,['9780470363867'],248.0,
BOOK00880,/works/OL468928W,Emotional intelligence at work,/books/OL675043M,Emotional intelligence at work,,1st ed.,1998,cau,['San Francisco'],['Jossey-Bass Publishers'],['eng'],['0787909521'],,219.0,
BOOK00881,/works/OL2639519W,The language of emotional intelligence,/books/OL16631766M,The language of emotional intelligence,,,2008,nyu,['New York'],['McGraw-Hill'],['eng'],['0071544550'],['9780071544559'],,
BOOK00881,/works/OL2639519W,The language of emotional intelligence,/books/OL24260427M,The Language of Emotional Intelligence,,,2008,nyu,['New York'],['McGraw-Hill'],['eng'],,['9780071544566'],240.0,Electronic resource
