metadata_field,available_books,missing_books,coverage_pct
Authors,2059,8,99.6129656507015
Description,192,1875,9.288824383164005
Subjects,826,1241,39.96129656507015
Cover Image,1888,179,91.34010643444606
Rating,282,1785,13.642960812772134
Reader Engagement,807,1260,39.042089985486214
First Publish Year,947,1120,45.815191098209965
Observed Publication Year,1117,950,54.03967102080309
Edition Metadata,1120,947,54.184808901790035
Page Count,1119,948,54.13642960812772
