cluster,cluster_label,cluster_size,cluster_share_pct,top_terms,representative_titles,average_centroid_distance,mean_distance_to_centroid,median_distance_to_centroid,max_distance_to_centroid,cohesion_group,leadershipnow_books,openlibrary_books,both_source_books,leadershipnow_share_pct,openlibrary_share_pct,both_source_share_pct
16,Leading Self and Others,23,1.2208067940552019,"leading, inflation, significance, inclusion, lightly, wellness, wisely, greatness, light, disruption",Leading Giants | Leading Through | Leading with Vulnerability | Leading Yourself | Leading Relationships,0.091,0.3409940795081406,0.3915537402601398,0.5285094313091209,Most compact,23,0,0,100.0,0.0,0.0
17,People Management,28,1.48619957537155,"people, people management, management, personnel, personnel management, management personnel, people managers, effective people, successful people, mastering people",People Management | People Management | People management | Effective people management | Sustainable People Management,0.191,0.4487438691813343,0.4039161624852123,0.7114229333748623,Moderately compact,1,27,0,3.571428571428571,96.42857142857143,0.0
18,Emotional Intelligence,50,2.6539278131634823,"intelligence, emotional, emotional intelligence, emotions, intelligence emotional, psychology, aspects, psychological, psychological aspects, cognition",Emotional Intelligence | Emotional Intelligence | Emotional Intelligence | Emotional Intelligence | Emotional Intelligence,0.045,0.3615695628122973,0.3923932631446515,0.7218187490168888,Most compact,5,44,1,10.0,88.0,2.0
19,Executive Leadership,39,2.0700636942675157,"executive, executive leadership, leadership, executives, leadership executives, executive ability, leadership leadership, ability, development executive, management",Executive leadership | Police Executive Leadership | Executive leadership | Executive Leadership | Executive leadership,0.151,0.4375470317220294,0.4382164712848697,0.715369031249095,Moderately compact,1,38,0,2.564102564102564,97.43589743589743,0.0
20,Human Resource Management,57,3.0254777070063694,"human, management, personnel, human resource, resource management, resource, management personnel, personnel management, direction, personnel direction",Human Resource management | Human resource management | Human Resource Management | Human resource management | Human Resource Management,0.042,0.342663999618498,0.3354388128835405,0.6825880565995011,Most compact,3,54,0,5.263157894736842,94.73684210526315,0.0
21,Innovation Management,45,2.388535031847134,"innovation, innovation management, management, innovations, technological, technological innovations, management technological, innovations management, product, business",Innovation Management | Innovation Management | Innovation management | Innovation Management in Robot Society | Revolution of Innovation Management,0.275,0.4937325549740252,0.4882333513031943,0.7263322257375318,Moderately broad,6,39,0,13.333333333333334,86.66666666666667,0.0
22,Power and Influence,27,1.4331210191082804,"power, power change, prediction, ownership, hold, going, middle, conscious, failure, change",The Power of Mattering | On Power | You to the Power of Two | Untold Power | The Power of Regret,0.023,0.3185501276768387,0.3714248279996527,0.7061638257806211,Most compact,26,1,0,96.29629629629629,3.7037037037037033,0.0
23,Project Management,47,2.494692144373673,"project, project management, management, management project, construction, projektmanagement, projets, engineering, guide project, business",Project management | Project Management | Project Management | Contemporary Project Management | Project Management Absolute Beginner's Guide,0.103,0.3656208888439535,0.3427166004325708,0.6955866794349266,Most compact,1,46,0,2.127659574468085,97.87234042553192,0.0
24,Operations Management,49,2.6008492569002124,"operations, production, operations management, management, production management, management production, production operations, produktion, management operations, operations research",Operations Management | Operations management | Restaurant operations management | Production and operations management | Production and operations management,0.099,0.3406698168429441,0.3346485498412069,0.6663376598144202,Most compact,1,48,0,2.0408163265306123,97.95918367346938,0.0
25,Transformational Leadership,108,5.7324840764331215,"leadership, transformational leadership, transformational, leadership leadership, transformative leadership, transformative, transforming leadership, transforming, educational, christian leadership",Kepemimpinan = | Leadership Is Overrated | The Soil of Leadership | Leadership Starts with You | On Leadership,0.09,0.5964228853139637,0.6539335643386357,0.8117305484239313,Broadest,47,61,0,43.51851851851852,56.481481481481474,0.0
26,Contemporary Leadership Practice,26,1.3800424628450108,"lead, ai, lead like, like, heal, conviction, live, day, confident, women",Lead With AI | Formed to Lead | Never Lead Alone | Lead Boldly | Lead Well,0.14,0.4262801379490647,0.450612960537807,0.7027077910367258,Moderately compact,26,0,0,100.0,0.0,0.0
27,Strategic Management and Planning,82,4.35244161358811,"strategic, planning, business, management, strategic planning, strategic management, strategy, business strategy, economics, business planning",Strategic management | Strategic management | Strategic management | Strategic management | Strategic Management,0.257,0.5000452569933072,0.5031302624258562,0.8111263297493028,Moderately broad,1,81,0,1.2195121951219512,98.78048780487805,0.0
28,CEO and Executive Transformation,285,15.127388535031846,"ceo, transformation, life, edge, thinking, rules, influence, factor, metaverse, smart",Sideline CEO | How To Be A CEO | From Welfare To CEO | The Detour CEO | A CEO for All Seasons,0.687,0.8968008477929671,0.909211588139608,1.0,Broadest,262,23,0,91.9298245614035,8.070175438596491,0.0
