representation,components,explained_variance_pct,selected_model
Core,10,8.767353818245795,False
Core,25,16.68570060808674,False
Core,50,24.194685136756913,False
Core,75,29.79795671421788,False
Core,100,34.6612191273347,False
Core,150,42.81408376334373,False
Core,200,49.43295513599606,False
Enriched,10,7.366643824250696,False
Enriched,25,12.953341949777958,False
Enriched,50,19.33506716759191,False
Enriched,75,24.271986333024113,False
Enriched,100,28.65142779106778,False
Enriched,150,35.943160309158266,False
Enriched,200,41.94870294757643,True
