recommendation_rank,count,mean,median
1,2040,0.5131427328442175,0.4949012959631591
2,2026,0.4100472501337316,0.3961901027878144
3,1994,0.3614208279407711,0.3485419230585246
4,1976,0.3276583195507513,0.3216372305046722
5,1961,0.3009023457364591,0.2928589679594762
6,1933,0.2827366519190099,0.2754972038008919
7,1907,0.2666334948135838,0.2590243954847788
8,1876,0.2542399259225695,0.2472937896462602
9,1851,0.2433067663896073,0.2360333287082228
10,1832,0.2331169602801003,0.2251123778833734
