book_id,core_recommendations,enriched_recommendations,core_mean_similarity,enriched_mean_similarity,core_rank1_similarity,enriched_rank1_similarity,top10_overlap_count,top10_overlap_ratio
BOOK00001,10,10,0.3902898125601037,0.16985342105230164,0.7372405223806359,0.22066853331192432,4,0.4
BOOK00002,10,10,0.3113799077663041,0.24118649465950387,0.6691309783470821,0.35505673035498914,0,0.0
BOOK00004,10,10,0.40112552657846434,0.29949617484033986,0.5679433145315343,0.34917295364134465,3,0.3
BOOK00005,10,10,0.2643527390416771,0.18985175944391341,0.4465773234659809,0.3278705533091899,4,0.4
BOOK00006,10,10,0.5172279967899232,0.3062673930920995,0.9037497169400164,0.4965450439191015,7,0.7
BOOK00007,10,10,0.3527190768816573,0.17337135278298102,0.8812815674865443,0.34735858199333774,4,0.4
BOOK00008,10,10,0.44608581766273436,0.3171361516347862,0.7749991263773317,0.5402037787113876,6,0.6
BOOK00009,10,10,0.499117181914953,0.2617452953059643,0.8120444092842788,0.39858499705065115,0,0.0
BOOK00010,10,10,0.3876981142169308,0.15330357516893553,0.6798143351020033,0.1745630106209113,1,0.1
BOOK00011,10,10,0.6780248611366216,0.4519747451777073,1.0,0.7405475143681041,0,0.0
BOOK00012,10,10,0.3438255320723327,0.28007382400436764,0.7915106563697948,0.5695853661009085,4,0.4
BOOK00013,10,10,0.4100005602282552,0.18476734351569002,0.5632402260333571,0.31926004146214143,1,0.1
BOOK00014,10,10,0.2851665150949552,0.1920141872192802,0.8751840025626596,0.3030889819043993,4,0.4
BOOK00015,10,10,0.3039717169988978,0.355697067294416,0.7172841243898105,0.4724558507041445,3,0.3
BOOK00016,10,10,0.2857839471155297,0.176352302381534,0.6857775704852255,0.27940585786399363,2,0.2
BOOK00017,10,10,0.29331461784423385,0.20134658920413587,0.8952980291964986,0.3643841494605183,5,0.5
BOOK00018,10,10,0.37400295927262656,0.38364904510370795,0.7915106563697948,0.5695853661009085,7,0.7
BOOK00019,10,10,0.18689384308580897,0.23678045715992307,0.8506392805289235,0.4124713942589602,1,0.1
BOOK00020,10,10,0.39045058349058887,0.2864711720286969,0.440619070575134,0.420292739427713,0,0.0
BOOK00021,10,10,0.513744678241844,0.3208787404770903,0.8727463950487611,0.4707205509830039,5,0.5
BOOK00022,10,10,0.440217552865093,0.1698890976304461,0.7800427330889489,0.22654359356131443,2,0.2
BOOK00023,10,10,0.3367641497414757,0.3525004163562025,0.40726353040405777,0.5830542911245588,2,0.2
BOOK00024,10,10,0.3980503541760706,0.17393373678115995,0.8751840025626596,0.253190647568899,3,0.3
BOOK00025,10,10,0.6780248611366216,0.16882256572954757,1.0,0.24107713408652415,1,0.1
BOOK00026,10,10,0.4104579317202555,0.34717935694550467,0.8727463950487611,0.49217704986159533,5,0.5
BOOK00027,10,10,0.40130622140465577,0.21864754233375291,0.7062161106454721,0.4791871641389401,3,0.3
BOOK00028,10,10,0.3631974420607847,0.2680362736647531,0.8249121139519418,0.422520979592822,3,0.3
