publication_geo_code,book_occurrences
nyu,136
enk,75
mau,43
nju,41
ilu,38
cau,37
xxu,26
xxk,24
xx,17
pau,9
ohu,9
txu,8
inu,6
dcu,6
mnu,6
vau,5
flu,5
ch,3
cou,3
vtu,3
gw,3
onc,3
tnu,2
miu,2
gau,2
iau,2
oru,2
mou,2
at,2
ph,2
io,1
meu,1
ne,1
msu,1
mbc,1
xna,1
ctu,1
ko,1
nz,1
ug,1
aru,1
us,1
ksu,1
mdu,1
fr,1
quc,1
cc,1
wau,1
ii,1
nhu,1
sa,1
ja,1
it,1
mx,1
