tensor_row,book_id,is_zero_vector
289,BOOK00290,False
290,BOOK00291,False
291,BOOK00292,False
292,BOOK00293,False
293,BOOK00294,False
294,BOOK00295,False
295,BOOK00296,False
296,BOOK00297,False
297,BOOK00298,False
298,BOOK00299,False
299,BOOK00300,False
300,BOOK00301,False
301,BOOK00302,False
302,BOOK00303,False
303,BOOK00304,False
304,BOOK00305,False
305,BOOK00306,False
306,BOOK00307,False
307,BOOK00308,False
308,BOOK00309,False
309,BOOK00310,False
310,BOOK00311,False
311,BOOK00312,False
312,BOOK00313,False
313,BOOK00314,False
314,BOOK00315,False
315,BOOK00316,False
316,BOOK00317,False
317,BOOK00318,False
318,BOOK00319,False
319,BOOK00320,False
320,BOOK00321,False
321,BOOK00322,False
322,BOOK00323,False
323,BOOK00324,False
324,BOOK00325,False
325,BOOK00326,False
326,BOOK00327,False
327,BOOK00328,False
328,BOOK00329,False
329,BOOK00330,False
330,BOOK00331,False
331,BOOK00332,False
332,BOOK00333,False
333,BOOK00334,False
334,BOOK00335,False
335,BOOK00336,False
336,BOOK00337,False
337,BOOK00338,False
338,BOOK00339,False
339,BOOK00340,False
340,BOOK00341,False
341,BOOK00342,False
342,BOOK00343,False
343,BOOK00344,False
344,BOOK00345,False
345,BOOK00346,False
346,BOOK00347,False
347,BOOK00348,False
348,BOOK00349,False
349,BOOK00350,False
350,BOOK00351,False
351,BOOK00352,False
352,BOOK00353,False
353,BOOK00354,False
354,BOOK00355,False
355,BOOK00356,False
356,BOOK00357,False
357,BOOK00358,False
358,BOOK00359,False
359,BOOK00360,False
360,BOOK00361,False
361,BOOK00362,False
362,BOOK00363,False
363,BOOK00364,False
364,BOOK00365,False
365,BOOK00366,False
366,BOOK00367,False
367,BOOK00368,False
368,BOOK00369,False
369,BOOK00370,False
370,BOOK00371,False
371,BOOK00372,False
372,BOOK00373,False
373,BOOK00374,False
374,BOOK00375,False
375,BOOK00376,False
376,BOOK00377,False
377,BOOK00378,False
378,BOOK00379,False
379,BOOK00380,False
380,BOOK00381,False
381,BOOK00382,False
382,BOOK00383,False
383,BOOK00384,False
384,BOOK00385,False
385,BOOK00386,False
386,BOOK00387,False
387,BOOK00388,False
388,BOOK00389,False
389,BOOK00390,False
390,BOOK00391,False
391,BOOK00392,False
392,BOOK00393,False
393,BOOK00394,False
394,BOOK00395,False
395,BOOK00396,False
396,BOOK00397,False
397,BOOK00398,False
398,BOOK00399,False
399,BOOK00400,False
400,BOOK00401,False
401,BOOK00402,False
402,BOOK00403,False
403,BOOK00404,False
404,BOOK00405,False
405,BOOK00406,False
406,BOOK00407,False
407,BOOK00408,False
408,BOOK00409,False
409,BOOK00410,False
410,BOOK00411,False
411,BOOK00412,False
412,BOOK00413,False
413,BOOK00414,False
414,BOOK00415,False
415,BOOK00416,False
416,BOOK00417,False
417,BOOK00418,False
418,BOOK00419,False
419,BOOK00420,False
420,BOOK00421,False
421,BOOK00422,False
422,BOOK00423,False
423,BOOK00424,False
424,BOOK00425,False
425,BOOK00426,False
426,BOOK00427,False
427,BOOK00428,False
428,BOOK00429,False
429,BOOK00430,False
430,BOOK00431,False
431,BOOK00432,False
432,BOOK00433,False
433,BOOK00434,False
434,BOOK00435,False
435,BOOK00436,False
436,BOOK00437,False
437,BOOK00438,False
438,BOOK00439,False
439,BOOK00440,False
440,BOOK00441,False
441,BOOK00442,False
442,BOOK00443,False
443,BOOK00444,False
444,BOOK00445,False
445,BOOK00446,False
446,BOOK00447,False
447,BOOK00448,False
448,BOOK00449,False
449,BOOK00450,False
450,BOOK00451,False
451,BOOK00452,False
452,BOOK00453,False
453,BOOK00454,False
454,BOOK00455,False
455,BOOK00456,False
456,BOOK00457,False
457,BOOK00458,False
458,BOOK00459,False
459,BOOK00460,False
460,BOOK00461,False
461,BOOK00462,False
462,BOOK00463,False
463,BOOK00464,False
464,BOOK00465,False
465,BOOK00466,False
466,BOOK00467,False
467,BOOK00468,False
468,BOOK00469,False
469,BOOK00470,False
470,BOOK00471,False
471,BOOK00472,False
472,BOOK00473,False
473,BOOK00474,False
474,BOOK00475,False
475,BOOK00476,False
476,BOOK00477,False
477,BOOK00478,False
478,BOOK00479,False
479,BOOK00480,False
480,BOOK00481,False
481,BOOK00482,False
482,BOOK00483,False
483,BOOK00484,False
484,BOOK00485,False
485,BOOK00486,False
486,BOOK00487,False
487,BOOK00488,False
488,BOOK00489,False
489,BOOK00490,False
490,BOOK00491,False
491,BOOK00492,False
492,BOOK00493,False
493,BOOK00494,False
494,BOOK00495,False
495,BOOK00496,False
496,BOOK00497,False
497,BOOK00498,False
498,BOOK00499,False
499,BOOK00500,False
500,BOOK00501,False
501,BOOK00502,False
502,BOOK00503,False
503,BOOK00504,False
504,BOOK00505,False
505,BOOK00506,False
506,BOOK00507,False
507,BOOK00508,False
508,BOOK00509,False
509,BOOK00510,False
510,BOOK00511,False
511,BOOK00512,False
512,BOOK00513,False
513,BOOK00514,False
514,BOOK00515,False
515,BOOK00516,False
516,BOOK00517,False
517,BOOK00518,False
518,BOOK00519,False
519,BOOK00520,False
520,BOOK00521,False
521,BOOK00522,False
522,BOOK00523,False
523,BOOK00524,False
524,BOOK00525,False
525,BOOK00526,False
526,BOOK00527,False
527,BOOK00528,False
528,BOOK00529,False
529,BOOK00530,False
530,BOOK00531,False
531,BOOK00532,False
532,BOOK00533,False
533,BOOK00534,False
534,BOOK00535,False
535,BOOK00536,False
536,BOOK00537,False
537,BOOK00538,False
538,BOOK00539,False
539,BOOK00540,False
540,BOOK00541,False
541,BOOK00542,False
542,BOOK00543,False
543,BOOK00544,False
544,BOOK00545,False
545,BOOK00546,False
546,BOOK00547,False
547,BOOK00548,False
548,BOOK00549,False
549,BOOK00550,False
550,BOOK00551,False
551,BOOK00552,False
552,BOOK00553,False
553,BOOK00554,False
554,BOOK00555,False
555,BOOK00556,False
556,BOOK00557,False
557,BOOK00558,False
558,BOOK00559,False
559,BOOK00560,False
560,BOOK00561,False
561,BOOK00562,False
562,BOOK00563,False
563,BOOK00564,False
