book_id,canonical_title,source_group,PC1,PC2,PC3
BOOK00001,Principle-Centered Leadership,Open Library only,3.6298034978266696,-0.26718026400054534,0.3849772204068376
BOOK00002,Leadership in Organizations,Open Library only,2.520034916814358,1.1207870653065428,0.45549208736677704
BOOK00003,Kepemimpinan =,Open Library only,2.1055162399045027,-0.835645353676462,-2.1655576712409137
BOOK00004,Spiritual leadership,Open Library only,2.5936256753200055,0.8892207940705177,-1.1354665659601897
BOOK00005,Leadership,Open Library only,1.679114959858657,-0.7176617784838836,-0.3019622165173493
BOOK00006,The 21 Irrefutable Laws of Leadership,Open Library only,3.8241612076358424,-1.3736981240162354,0.2020714757880454
BOOK00007,Leadership,Open Library only,1.246249472390282,-0.3235404003547809,0.26896094084908573
BOOK00008,Leadership and performance beyond expectations,Open Library only,2.847211890545868,-1.5787222637556586,-1.9807541113846574
BOOK00009,A Higher Loyalty,Open Library only,0.9719219757197125,-1.3183303336152314,1.0544485773779693
BOOK00010,Leadership and Self Deception,Open Library only,2.9289119403305457,-0.30719173865219285,1.2510079394760236
BOOK00011,Leadership,Open Library only,0.8890338545430754,-0.553021042937338,1.1198044538836174
BOOK00012,Leadership,Open Library only,1.8604629840675007,-0.0046350845574974495,0.16407829105498098
BOOK00013,Lincoln on Leadership,Open Library only,1.9502077645535592,-0.9102672882209892,-0.9091181562621853
BOOK00014,Leadership,Open Library only,1.0098468775228508,0.7103121501998584,-1.063993596234602
BOOK00015,Leadership,Open Library only,1.0870437236464014,-0.5172711297238455,-0.12104430267857497
BOOK00016,The leadership challenge,Both,1.9377511539827244,1.310846963513456,1.1472252425855995
BOOK00017,ORGANIZATIONAL CULTURE AND LEADERSHIP,Open Library only,1.235995670947126,0.3506617701387981,0.14526493483333772
BOOK00018,Leadership,Open Library only,0.40544862779704643,-1.6451790408093343,-0.6576990046574593
BOOK00019,Leadership In Turbulent Times,Open Library only,1.0223451670728054,-1.0126681760162026,1.206330635795059
BOOK00020,Leadership,Open Library only,1.1389491896491204,0.1935518252805566,-0.18465505371954283
BOOK00021,Transformational Leadership,Open Library only,0.7699387711811502,-0.29214498189061056,0.6090812518036062
BOOK00022,Tribal leadership,Open Library only,1.4272836899856374,-0.525097508244652,0.9029826972524578
BOOK00023,Tough Minded Leadership,Open Library only,0.7292201724509946,-0.034764261140059434,-0.8625236016747981
BOOK00024,Transforming Leadership,Open Library only,0.6319638490955449,-0.34397968819769453,0.1966553153051433
BOOK00025,Leadership,Open Library only,0.48738942274042696,-0.33806557982621266,0.01853372762767883
BOOK00026,Transformation leadership,Open Library only,-0.820701146249337,-0.642174254473237,-0.6844057612393831
BOOK00027,Las cinco disfunciones de un equipo,Open Library only,2.3840950360102853,-0.5878429010259347,0.9339937976001375
BOOK00028,The Tao of leadership,Open Library only,1.84517470145628,0.6809095838749206,0.10636404194820881
BOOK00029,The student leadership challenge,Open Library only,0.5315154080525626,1.3227848886910731,1.7781006885800978
BOOK00030,Reframing Organizations,Open Library only,1.3727224276492245,1.2813872010475398,1.2886301335581194
BOOK00031,Wooden on Leadership,Open Library only,0.4621436707177695,-0.8590710242847724,-0.22704554708086191
BOOK00032,Brand leadership,Open Library only,0.03627191127549383,0.08063942024233743,0.04479247033382571
BOOK00033,SuperVision and Instructional Leadership,Open Library only,1.1148474467479703,0.15636372038681612,0.8178191732341042
BOOK00034,Leadership,Open Library only,-0.40841863529002226,0.5647285797901874,1.1726766877317096
BOOK00035,Leadership Strategy and Tactics,Open Library only,-0.0327078466168528,-0.9241410543351503,1.0711093339990325
BOOK00036,Leadership,Both,-0.17817156173510337,-0.6689650756769754,1.47563036520944
BOOK00037,Improving organizational effectiveness through transformational leadership,Open Library only,0.9633833617152107,-0.7403932093353887,-0.9910172792919087
BOOK00038,Introduction to Leadership,Open Library only,-0.596325964500436,-0.23256291975453616,0.5535141500660474
BOOK00039,Teacher leadership,Open Library only,0.8813229898815014,2.729666012246772,-1.6475875056346876
BOOK00040,HR leadership,Open Library only,-0.6881072265619883,0.18466745846963745,0.8881073189354102
BOOK00041,Leadership in health care,Open Library only,-0.372131033602907,0.6421571624897813,1.3891569646595474
BOOK00042,Organizational culture and leadership,Open Library only,1.1291775682652072,0.3118296110549828,-0.7047353711915327
BOOK00043,Leadership and the one minute manager,Open Library only,1.5421671478910277,0.2286366895554268,-0.4674243671263085
BOOK00044,School leadership and administration,Open Library only,1.2040904164259287,0.3388119309736345,-0.37347134036946694
BOOK00045,Leadership Is an Art,Open Library only,0.5304933531707546,0.6048594861901389,-0.18161056776897114
BOOK00046,Small unit leadership,Open Library only,-0.010797180150923406,0.5249913460184333,-1.25133095266349
BOOK00047,Leadership Wisdom from the Monk Who Sold His Ferrari,Open Library only,2.5978797494252017,-0.19883346621090703,0.8896699346782685
BOOK00048,Monday morning leadership,Open Library only,1.5875560720051147,-1.8653326243716668,-1.1654915662633805
BOOK00049,Leadership for dummies,Open Library only,-0.1087476840135965,-0.11239276568216168,-0.4057720087579882
BOOK00050,Leadership,Open Library only,-0.09258777610276701,-1.0528415036194503,-0.29772666637345313
BOOK00051,Curriculum leadership,Open Library only,0.06151399241649869,0.6593018097386054,-0.6700414198259118
BOOK00052,Transformational leadership development,Open Library only,-0.5801109853486803,0.08621697160048816,-1.3426388357919754
BOOK00053,Full range leadership development,Open Library only,-0.8508890700514046,-0.20087752894896319,0.2796964087028871
BOOK00054,Leadership Development in Balance,Open Library only,-1.1390374369101712,0.6495500834090943,0.5536722097450992
BOOK00055,Full range leadership development,Open Library only,-1.2135035453380079,0.4375593431276929,0.8961067070929455
BOOK00056,Leadership Development,Open Library only,-1.6341479620863697,-0.009100190170876536,0.9828580640576114
BOOK00057,Leadership development basics,Open Library only,-1.52140978789575,0.06616160499180342,0.0789233124374782
BOOK00059,The Center for Creative Leadership handbook of leadership development,Open Library only,-1.242204876326782,0.5313248464559678,0.25238817167784733
BOOK00060,Applied leadership development,Open Library only,-1.6379887473162211,0.04232465870186996,0.7248538036525909
BOOK00061,Full leadership development,Open Library only,-1.4493717401039186,0.00017970393380981747,-0.9080538021294668
BOOK00062,Implementing problem-based learning in leadership development,Open Library only,-1.2709956402759892,0.45725001202449883,-0.6941838094205831
BOOK00063,Leadership Development Studies,Open Library only,-1.5778347402399142,-0.7925532022944722,-0.39456875661032687
BOOK00064,The making of a leader,Open Library only,0.212176157931219,-0.036024740135391545,-1.1709628819055802
BOOK00065,Accelerating Leadership Development,Open Library only,-1.5111766328806233,-0.1330305167720148,0.4225864509078713
BOOK00067,College Student Leadership Development,Open Library only,-1.758352741402633,-0.1552755437910071,0.6371231567902278
BOOK00068,The Center for Creative Leadership handbook of leadership development,Open Library only,-1.6872031224574093,-0.19179581815943286,-0.10479730658609133
BOOK00069,Leadership development program,Open Library only,-1.6237304290498262,0.3439066928726083,-0.4944634142650173
BOOK00070,Servant Leadership,Open Library only,-1.466945362321608,0.10083766696624093,0.3605965565549547
BOOK00072,Leading Small Business,Open Library only,-1.5713218542300222,-0.13204931003060882,0.556535588294425
BOOK00074,Leadership Development,Open Library only,-1.2790676768864626,0.5200342255605704,0.0079062994239081
BOOK00075,Accelerated Leadership Development,Open Library only,-1.854205509510872,-0.5644149813543925,0.2087051441970611
BOOK00077,Leadership for a Better World,Open Library only,-1.2605378749308496,0.15082052438038396,0.7439498625541515
BOOK00080,The handbook for student leadership development,Open Library only,-1.7798288340434683,-0.5202645788327352,-0.4365827988341177
BOOK00082,Servant Leadership Development,Open Library only,-2.091659824316474,-0.9364234320198171,-0.04313532773909647
BOOK00083,Full range leadership development,Open Library only,-1.882906840499646,-0.47064947802611756,-0.435013391218037
BOOK00084,The Art of Christian Leadership,Open Library only,-1.3592535664618992,-0.06851535324007862,0.11532438404867107
BOOK00086,Ethical leadership,Open Library only,-1.5489020663927209,0.2745888483638017,-1.062018292784342
BOOK00087,Leadership development,Open Library only,-1.6733070584202832,0.3910948008015132,-1.0989941433322215
BOOK00088,Phi Theta Kappa leadership development program,Open Library only,-1.5402292355230949,0.530216274470088,-0.6512146396565935
BOOK00089,Best practices in leadership development and organization change,Open Library only,-1.40836046511771,0.5546760080949394,0.29378793382575613
BOOK00090,Collaborative leadership,Open Library only,-1.3666098683543442,0.6478307988936793,0.215412321129968
BOOK00091,Transnational leadership development,Open Library only,-1.5913503543491703,0.21734361940395247,0.3236207060070753
BOOK00092,Distributed School Leadership,Open Library only,-1.6666900783049952,0.13609016203014496,0.08113526823749294
BOOK00095,The Pfeiffer book of successful leadership development tools,Open Library only,-1.526475081383955,0.1200396772042295,-0.03138995913027767
BOOK00096,Leadership development,Open Library only,-1.3810528810767235,1.0431783363926928,-1.6476234322027383
BOOK00097,Foundations of Educational Leadership,Open Library only,-1.6132726637046868,0.03747720522849346,0.9436702577097174
BOOK00098,Strategic leadership development,Open Library only,-1.94468593738216,-0.21441133939029616,-0.5895526608095986
BOOK00099,Executive Leadership,Open Library only,0.8595842652773242,0.815232186358063,-1.5576425556151836
BOOK00100,Executive leadership,Open Library only,-0.8886232892904102,1.0406384904417896,-0.21943491211296218
BOOK00101,Executive leadership,Open Library only,-0.27725356727698575,3.018430510788171,-1.564349348555503
BOOK00103,Executive leadership,Open Library only,-0.5460409458094104,2.906274152367491,-3.2151356861185008
BOOK00104,Effective Executive,Open Library only,4.680574691550729,0.9148335664595257,0.1226061865775946
BOOK00105,Executive Leadership for Effective Administration,Open Library only,-1.7072316225765576,0.15759711127512846,-0.337712188873441
BOOK00108,Executive Leadership Council Journal,Open Library only,-2.0693369334131044,-0.17546407214415774,0.7584679392500056
BOOK00110,Executive Leadership,Open Library only,-1.100911738284788,2.0721522404505324,-1.44340781591428
BOOK00112,Principles and problems of executive leadership,Open Library only,-0.9535755971212048,2.5128557482898457,-2.214945530156261
BOOK00116,Chief nursing executives' leadership style and effectiveness,Open Library only,-1.4261309498982735,0.4133398278205056,-1.313530849214578
BOOK00119,Executive leadership in Anglo-American systems,Open Library only,-1.6842110404801038,0.8826469093118972,-0.8433723079799683
BOOK00120,The focused executive,Open Library only,-1.9455327356446945,-0.6103816642242275,-0.3174499721743549
BOOK00121,Executive leadership,Open Library only,-1.2119052103084902,2.0942699022250513,-2.4275981957445243
BOOK00122,Executive Leadership,Open Library only,-2.5479243067361907,-0.8866834033346261,0.08042141052069618
BOOK00130,"Presidents, Prime Ministers and Chancellors",Open Library only,-1.5831888847782638,0.3223997436276248,-0.0756159571540833
BOOK00145,Applied team leadership,Open Library only,-1.5744033222848242,-0.5911743426124829,-0.5727438920206862
BOOK00148,Team leadership,Open Library only,-1.8411562437362803,-0.3774946872273776,-0.5133890039138251
BOOK00149,Team leadership,Open Library only,-1.5819798322864607,0.43706148367134817,-0.5728390269608054
BOOK00150,Team of Rivals,Open Library only,3.224182819886272,-1.2511721284607187,0.6083898822038101
BOOK00151,Interprofessional Health Care Team,Open Library only,-1.7093769062913284,-0.5208752913622703,0.1287601238851922
BOOK00152,Team leadership in Christian ministry,Open Library only,-1.4875746566999086,0.13181895675844413,-0.9852120877046345
BOOK00153,Leading self-directed work teams,Open Library only,-0.8504203726944202,0.9089992376171553,-0.1422766265377945
BOOK00154,Team Leadership,Open Library only,-1.6654810258131918,0.2507519020738684,-0.41608780156922914
BOOK00155,Team leadership in the game industry,Open Library only,-1.6875653766866778,0.08951276663077501,0.12032307458538699
BOOK00156,Team leadership,Open Library only,-1.7150576551836487,0.2979400100027733,-1.0206185306364333
BOOK00157,Team Leadership,Open Library only,-2.174314219580671,-0.7267626887833657,-0.15848679098276386
BOOK00158,The Team Leadership Practices Inventory,Open Library only,-1.4567280419963635,0.7165258560675679,-0.8079658650481698
BOOK00162,Effective Team Leadership,Open Library only,-1.9655612357638428,-0.2609887347896661,-0.5503648544617045
BOOK00163,Leadership Team Coaching,Open Library only,-0.4390468106522959,0.2274837806420589,1.115649650742071
BOOK00164,Team leadership,Open Library only,-1.8094628307702008,0.6031825369156775,-0.6082454698926039
BOOK00165,Remote Team Leadership,Open Library only,-2.1534389211989877,-0.6801852933839957,-0.19767459733065798
BOOK00166,Operations Team Leadership (Leadership Guides),Open Library only,-1.79855884871038,0.1116304284052935,-0.8638673052448569
BOOK00167,Leaders Eat Last,Open Library only,6.709252686317237,2.665654692163454,-3.8439581624293964
BOOK00169,Tools for team leadership,Open Library only,-1.8315471816436868,0.4419434014725842,-0.07183459373798777
BOOK00176,Virtual team leadership and collaborative engineering advancements,Open Library only,-1.9655612357638428,-0.2609887347896661,-0.5503648544617045
BOOK00184,The Five Dysfunctions of a Team,Open Library only,0.004723811911982191,-1.1399418974905353,-0.988859245325496
BOOK00188,Five Dysfunctions of a Team,Open Library only,-0.6541610564621133,0.3382042136358842,0.7709805612170721
BOOK00189,Team of Teams,Open Library only,1.4646768092003444,-1.7173152660183775,0.36869314740092873
BOOK00193,Transformational Leadership,Open Library only,0.03989929829798657,-0.15293971532229358,-0.49923185913045404
BOOK00194,Transformational leadership,Open Library only,-0.5342240822656763,-0.2163462693116561,-0.25727075526092086
BOOK00195,Transformative leadership in education,Open Library only,-1.1067467951699481,0.3551466721806945,1.0689028843338593
BOOK00196,Transforming leadership,Open Library only,-0.3563486155769177,0.23528087923698485,-0.976946779660469
BOOK00197,Transformational Leadership,Open Library only,-1.7792280397843159,-0.2018529391903771,0.6763109631381219
BOOK00198,Radical Transformational Leadership,Open Library only,-1.7302522046730113,-0.5674526867616402,0.16794793023308616
BOOK00199,Transformative Leadership Primer,Open Library only,-1.6379887473162211,0.04232465870186996,0.7248538036525909
BOOK00200,The dark side of transformational leadership,Open Library only,-1.5297714701779555,0.22378678682597322,0.7869190323181411
BOOK00201,Transformational leadership,Open Library only,-1.8620315421179632,-0.4240720826267476,-0.47420119756593104
BOOK00202,Transforming leadership: from vision to results,Open Library only,-1.1779928611420418,0.6056858441256192,-1.4174952846520898
BOOK00203,Transforming leadership,Open Library only,-1.6115279615377693,0.13485666216569187,-0.9444548737406598
BOOK00204,Charismatic and transformational leadership,Open Library only,-1.4236502761026237,0.5540532207600214,-1.2971451308717064
BOOK00205,Transformational Leadership,Open Library only,-2.091659824316474,-0.9364234320198171,-0.04313532773909647
BOOK00206,Transformative Leadership in Action,Open Library only,-1.917193658885189,-0.4228385827622946,0.5513889444122217
BOOK00207,Transformational Leadership Styles for Global Leaders,Open Library only,-1.88360453169273,-0.4347399161872269,0.8722499948775922
BOOK00208,7 principles of transformational leadership,Open Library only,-1.8333302111291891,-0.5178375859550225,0.16951733784916698
BOOK00209,Uniting the Virtual Workforce,Open Library only,-1.0736508026462364,0.7028174430919852,1.0087018608966531
BOOK00210,"Women, spirituality, and transformative leadership",Open Library only,-1.7293159734500436,-0.003642024167964908,0.1986986872811751
BOOK00211,Transformational leadership,Open Library only,-1.5489020663927209,0.2745888483638017,-1.062018292784342
BOOK00212,Transformative Leadership and Sustainable Innovation in Education,Open Library only,-2.00069485241192,-0.6091481643597745,0.708140169803798
BOOK00213,Transforming leadership,Open Library only,-1.4567280419963635,0.7165258560675679,-0.8079658650481698
BOOK00214,Transforming Leadership,Open Library only,-1.9029353406187943,-0.12125654859155625,-0.6679282735053866
BOOK00215,Transforming Leadership,Open Library only,-1.7776835503286972,0.15820782380466344,-0.903055111592751
BOOK00216,Transformative Leadership,Open Library only,-2.0908130260539393,-0.5404531071858859,-0.3152380163743401
BOOK00217,The Transformational Leadership Compass,Open Library only,-1.938068957266872,-0.4694159781616644,0.5905767507601157
BOOK00218,Sustainability Mindset and Transformative Leadership,Open Library only,-2.0621116950651652,-0.6342186105141607,0.328480519040758
BOOK00219,Transforming Leadership,Open Library only,-1.8403094454737456,0.01847563760655359,-0.7854916925490688
