book_id,known_publication_languages_display,observed_publication_language_count,has_multilingual_publication_evidence
BOOK00238,English,1,False
BOOK00239,"Spanish, English",2,True
BOOK00240,English,1,False
BOOK00241,English,1,False
BOOK00242,English,1,False
BOOK00243,English,1,False
BOOK00244,English,1,False
BOOK00245,,0,False
BOOK00246,English,1,False
BOOK00247,English,1,False
BOOK00248,English,1,False
BOOK00249,,0,False
BOOK00250,English,1,False
BOOK00251,English,1,False
BOOK00252,English,1,False
BOOK00253,English,1,False
BOOK00254,English,1,False
BOOK00255,English,1,False
BOOK00256,English,1,False
BOOK00257,English,1,False
BOOK00258,English,1,False
BOOK00259,English,1,False
BOOK00260,English,1,False
BOOK00261,English,1,False
BOOK00262,English,1,False
BOOK00263,English,1,False
BOOK00264,,0,False
BOOK00265,English,1,False
BOOK00266,English,1,False
BOOK00267,English,1,False
BOOK00268,English,1,False
BOOK00269,English,1,False
BOOK00270,English,1,False
BOOK00271,English,1,False
BOOK00272,English,1,False
BOOK00273,English,1,False
BOOK00274,English,1,False
BOOK00275,English,1,False
BOOK00276,English,1,False
BOOK00277,German,1,False
BOOK00278,English,1,False
BOOK00279,English,1,False
BOOK00280,English,1,False
BOOK00281,"English, French, German, Chinese, Norwegian",5,True
BOOK00282,"English, Indonesian",2,True
BOOK00283,English,1,False
BOOK00284,English,1,False
BOOK00285,English,1,False
BOOK00286,English,1,False
BOOK00287,English,1,False
BOOK00288,English,1,False
BOOK00289,"English, Chinese, German",3,True
BOOK00290,English,1,False
BOOK00291,English,1,False
BOOK00292,"English, Chinese",2,True
BOOK00293,English,1,False
BOOK00294,English,1,False
BOOK00295,English,1,False
BOOK00296,English,1,False
BOOK00297,"English, Chinese",2,True
BOOK00298,English,1,False
BOOK00299,English,1,False
BOOK00300,English,1,False
BOOK00301,"English, Spanish",2,True
BOOK00302,English,1,False
BOOK00303,English,1,False
BOOK00304,English,1,False
BOOK00305,English,1,False
BOOK00306,English,1,False
BOOK00307,English,1,False
BOOK00308,English,1,False
BOOK00309,"English, Japanese",2,True
BOOK00310,English,1,False
BOOK00311,English,1,False
BOOK00312,English,1,False
BOOK00313,English,1,False
BOOK00314,English,1,False
BOOK00315,"English, Spanish",2,True
BOOK00316,English,1,False
BOOK00317,English,1,False
BOOK00318,English,1,False
BOOK00319,English,1,False
BOOK00320,English,1,False
BOOK00321,English,1,False
BOOK00322,English,1,False
BOOK00323,English,1,False
BOOK00324,English,1,False
BOOK00325,English,1,False
BOOK00326,English,1,False
BOOK00327,English,1,False
BOOK00328,English,1,False
BOOK00329,English,1,False
BOOK00330,English,1,False
BOOK00331,English,1,False
BOOK00332,"English, Chinese",2,True
BOOK00333,"English, Portuguese, Chinese, Vietnamese, Spanish, Russian, Japanese, Czech, Korean",9,True
BOOK00334,English,1,False
BOOK00335,,0,False
BOOK00336,English,1,False
BOOK00337,English,1,False
BOOK00338,English,1,False
BOOK00339,English,1,False
BOOK00340,English,1,False
BOOK00341,English,1,False
BOOK00342,English,1,False
BOOK00343,English,1,False
BOOK00344,English,1,False
BOOK00345,English,1,False
BOOK00346,English,1,False
BOOK00347,English,1,False
BOOK00348,English,1,False
BOOK00349,English,1,False
BOOK00350,English,1,False
BOOK00351,"French, Finnish, English, Spanish",4,True
BOOK00352,,0,False
BOOK00353,English,1,False
BOOK00354,English,1,False
BOOK00355,English,1,False
BOOK00356,English,1,False
BOOK00357,English,1,False
BOOK00358,English,1,False
BOOK00359,English,1,False
BOOK00360,English,1,False
BOOK00361,English,1,False
BOOK00362,English,1,False
BOOK00363,English,1,False
BOOK00364,English,1,False
BOOK00365,English,1,False
BOOK00366,English,1,False
BOOK00367,English,1,False
BOOK00368,English,1,False
BOOK00369,English,1,False
BOOK00370,English,1,False
BOOK00371,English,1,False
BOOK00372,English,1,False
BOOK00373,English,1,False
BOOK00374,"Arabic, English",2,True
BOOK00375,English,1,False
BOOK00376,English,1,False
BOOK00377,English,1,False
BOOK00378,English,1,False
BOOK00379,,0,False
BOOK00380,English,1,False
BOOK00381,English,1,False
BOOK00382,English,1,False
BOOK00383,English,1,False
BOOK00384,English,1,False
BOOK00385,English,1,False
BOOK00386,"German, English",2,True
BOOK00387,English,1,False
BOOK00388,English,1,False
BOOK00389,English,1,False
BOOK00390,English,1,False
BOOK00391,English,1,False
BOOK00392,English,1,False
BOOK00393,English,1,False
BOOK00394,English,1,False
BOOK00395,English,1,False
BOOK00396,English,1,False
BOOK00397,English,1,False
BOOK00398,English,1,False
BOOK00399,English,1,False
BOOK00400,English,1,False
BOOK00401,English,1,False
BOOK00402,English,1,False
BOOK00403,English,1,False
BOOK00404,English,1,False
BOOK00405,English,1,False
BOOK00406,English,1,False
BOOK00407,English,1,False
BOOK00408,English,1,False
BOOK00409,English,1,False
BOOK00410,English,1,False
BOOK00411,English,1,False
BOOK00412,,0,False
BOOK00413,English,1,False
BOOK00414,English,1,False
BOOK00415,English,1,False
BOOK00416,English,1,False
BOOK00417,English,1,False
BOOK00418,English,1,False
BOOK00419,English,1,False
BOOK00420,English,1,False
BOOK00421,English,1,False
BOOK00422,English,1,False
BOOK00423,English,1,False
BOOK00424,English,1,False
BOOK00425,English,1,False
BOOK00426,,0,False
BOOK00427,"German, English",2,True
BOOK00428,English,1,False
BOOK00429,English,1,False
BOOK00430,English,1,False
BOOK00431,English,1,False
BOOK00432,,0,False
BOOK00433,English,1,False
BOOK00434,English,1,False
BOOK00435,English,1,False
BOOK00436,English,1,False
BOOK00437,English,1,False
BOOK00438,English,1,False
BOOK00439,English,1,False
BOOK00440,English,1,False
BOOK00441,English,1,False
BOOK00442,English,1,False
BOOK00443,English,1,False
BOOK00444,English,1,False
BOOK00445,English,1,False
BOOK00446,English,1,False
BOOK00447,English,1,False
BOOK00448,English,1,False
BOOK00449,English,1,False
BOOK00450,English,1,False
BOOK00451,German,1,False
BOOK00452,English,1,False
BOOK00453,English,1,False
BOOK00454,English,1,False
BOOK00455,,0,False
BOOK00456,English,1,False
BOOK00457,English,1,False
BOOK00458,,0,False
BOOK00459,English,1,False
BOOK00460,English,1,False
BOOK00461,German,1,False
BOOK00462,English,1,False
BOOK00463,English,1,False
BOOK00464,English,1,False
BOOK00465,English,1,False
BOOK00466,English,1,False
BOOK00467,English,1,False
BOOK00468,English,1,False
BOOK00469,English,1,False
BOOK00470,English,1,False
BOOK00471,"Romanian, French, English",3,True
BOOK00472,English,1,False
BOOK00473,English,1,False
BOOK00474,English,1,False
BOOK00475,English,1,False
BOOK00476,English,1,False
BOOK00477,English,1,False
BOOK00478,English,1,False
BOOK00479,English,1,False
BOOK00480,English,1,False
BOOK00481,English,1,False
BOOK00482,English,1,False
BOOK00483,English,1,False
BOOK00484,English,1,False
BOOK00485,English,1,False
BOOK00486,English,1,False
BOOK00487,English,1,False
BOOK00488,English,1,False
BOOK00489,English,1,False
BOOK00490,English,1,False
BOOK00491,English,1,False
BOOK00492,English,1,False
BOOK00493,English,1,False
BOOK00494,English,1,False
BOOK00495,English,1,False
BOOK00496,English,1,False
BOOK00497,English,1,False
BOOK00498,English,1,False
BOOK00499,English,1,False
BOOK00500,English,1,False
BOOK00501,English,1,False
BOOK00502,English,1,False
BOOK00503,English,1,False
BOOK00504,English,1,False
BOOK00505,English,1,False
BOOK00506,English,1,False
BOOK00507,,0,False
BOOK00508,English,1,False
BOOK00509,,0,False
BOOK00510,English,1,False
BOOK00511,English,1,False
BOOK00512,English,1,False
BOOK00513,English,1,False
BOOK00514,English,1,False
BOOK00515,,0,False
BOOK00516,English,1,False
BOOK00517,English,1,False
BOOK00518,English,1,False
BOOK00519,English,1,False
BOOK00520,English,1,False
BOOK00521,English,1,False
BOOK00522,English,1,False
BOOK00523,English,1,False
BOOK00524,English,1,False
BOOK00525,English,1,False
BOOK00526,English,1,False
BOOK00527,English,1,False
BOOK00528,English,1,False
BOOK00529,English,1,False
BOOK00530,English,1,False
BOOK00531,English,1,False
BOOK00532,English,1,False
BOOK00533,English,1,False
BOOK00534,,0,False
BOOK00535,English,1,False
BOOK00536,English,1,False
BOOK00537,English,1,False
BOOK00538,English,1,False
BOOK00539,English,1,False
BOOK00540,English,1,False
BOOK00541,English,1,False
BOOK00542,English,1,False
BOOK00543,,0,False
BOOK00544,English,1,False
BOOK00545,English,1,False
BOOK00546,English,1,False
BOOK00547,English,1,False
BOOK00548,English,1,False
BOOK00549,English,1,False
BOOK00550,English,1,False
BOOK00551,English,1,False
BOOK00552,English,1,False
BOOK00553,English,1,False
BOOK00554,English,1,False
BOOK00555,English,1,False
BOOK00556,English,1,False
BOOK00557,English,1,False
BOOK00558,English,1,False
BOOK00559,English,1,False
BOOK00560,English,1,False
BOOK00561,English,1,False
BOOK00562,English,1,False
BOOK00563,English,1,False
BOOK00564,English,1,False
BOOK00565,English,1,False
BOOK00566,English,1,False
BOOK00567,English,1,False
BOOK00568,English,1,False
BOOK00569,English,1,False
BOOK00570,English,1,False
BOOK00571,English,1,False
BOOK00572,English,1,False
BOOK00573,English,1,False
BOOK00574,English,1,False
BOOK00575,English,1,False
BOOK00576,English,1,False
BOOK00577,English,1,False
BOOK00578,English,1,False
BOOK00579,English,1,False
BOOK00580,English,1,False
BOOK00581,English,1,False
BOOK00582,English,1,False
BOOK00583,English,1,False
BOOK00584,English,1,False
BOOK00585,English,1,False
BOOK00586,English,1,False
BOOK00587,English,1,False
BOOK00588,English,1,False
BOOK00589,English,1,False
BOOK00590,English,1,False
BOOK00591,English,1,False
BOOK00592,English,1,False
