book_id,validated_geographic_author_count,validated_geographic_author_names,author_citizenship_evidence,author_birthplace_evidence,author_identity_evidence_tiers,author_geography_provenance
BOOK00518,1,Richard B. Chase,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00519,1,Stanley E. Portny,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00520,1,Harvey Maylor,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00521,1,Harold Kerzner,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00523,1,Jack R. Meredith,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00524,1,Erik W. Larson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00525,1,Project Management Institute,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00528,1,Peter Fewings,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00529,1,Project Management Institute,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00530,1,Mark C. Layton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00531,1,Kory Kogon,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00533,1,Robert K. Wysocki,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00534,1,P. K. Joy,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00535,2,Jack R. Meredith | Scott M. Shafer,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00536,1,James P. Clements,,Arlington County,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00537,2,Avraham Shtub | Shlomo Globerson,Israel,Kiryat Chaim,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00538,1,Jack R. Meredith,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00539,1,Rose Baker,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00541,1,Project Management Institute,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00544,1,Rory Burke,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00545,2,Erik W. Larson | Clifford F. Gray,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00546,2,Jack R. Meredith | Scott M. Shafer,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00548,2,Clifford F. Gray | Erik W. Larson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00551,2,John M. Nicholas | Herman Steyn,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00552,2,Clifford F. Gray | Erik W. Larson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00553,1,David Shirley,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00554,1,Harold Kerzner,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00555,1,Lewis R. Ireland,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00556,1,Erik W. Larson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00557,1,Ken Schwaber,United States,Wheaton,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00558,1,Scott Berkun,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00559,1,Project Management Institute,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00560,1,Tom DeMarco,United States,Hazleton,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00561,1,Greg Horine,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00564,1,Stanley E. Portny,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00565,1,Scott Berkun,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00568,2,Aubrey C. Daniels | Jon S. Bailey,United States,South Carolina,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00570,1,Herman Aguinis,Argentina,Río Cuarto,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00574,1,Mike Bourne,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00582,1,Ron Dimon,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00584,1,Poonam Khurana,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00591,3,Wouter Van Dooren | Geert Bouckaert | John Halligan,Belgium,Veurne,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00594,1,Brian J. Hall,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00598,1,Richard Pettinger,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00605,1,Herman Aguinis,Argentina,Río Cuarto,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00608,2,Bernard Marr | Dina Gray,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00609,1,Aubrey C. Daniels,United States,South Carolina,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00610,1,Phil Baguley,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00611,1,Bob Paladino,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00616,1,Robert L. Mathis,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00617,1,David A. DeCenzo,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00618,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00619,1,Kenneth G. Brown,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00620,1,Jeffrey Gold,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00621,1,Wendell L. French,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00622,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00623,1,Lloyd L. Byars,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00624,1,John M. Ivancevich,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00626,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00627,1,Monica Belcourt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00628,1,Pieter Nel,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00630,2,Pamela L. Perrewe | K. Michele Kacmar,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00632,1,David A. DeCenzo,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00633,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00635,2,Robert N. Lussier | John R. Hendon,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00637,1,Lloyd L. Byars,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00640,1,Julie Beardwell,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00642,1,Raymond A. Noe,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00643,1,Paul E Smith,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00644,1,Chris Brewster,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00645,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00647,1,Ronan Carbery,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00649,1,Robert L. Mathis,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00650,1,Raymond A. Noe,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00651,1,Robert L. Mathis,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00652,1,Gary Dessler,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00653,2,Jonathan Crawshaw | Pawan Budhwar,India,,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00655,2,Raymond A. Noe | John R. Hollenbeck,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00656,3,Raymond A. Noe | John R. Hollenbeck | Patrick M. Wright,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00659,1,Joseph J. Martocchio,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00661,1,Fred Luthans,United States,Clinton,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00663,2,Robert Kreitner | Angelo Kinicki,,Buffalo,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00666,1,Nancy J. Adler,Canada,Inglewood,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00667,1,John W. Newstrom,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00669,2,John M. Ivancevich | Michael T. Matteson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00671,1,Jason Colquitt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00673,1,James Campbell Quick,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00674,3,Christopher P. Neck | Jeffery D. Houghton | Emma L. Murray,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00675,1,Richard M. Steers,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00676,2,Jennifer M. George | Gareth R. Jones,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00679,2,Angelo Kinicki | Robert Kreitner,,Buffalo,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00680,2,Dorothy Marcic | Peter Vaill,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00681,1,Tim Judge,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00684,1,Joyce Osland,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00686,1,Fred Luthans,United States,Clinton,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00687,1,Nancy Borkowski,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00688,1,Ricky W. Griffin,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00689,1,Gregory B. Northcraft,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00690,3,John A. Wagner | John R. Hollenbeck,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00691,1,Robert Kreitner,,Buffalo,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00692,1,Craig C. Pinder,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00694,1,Kenneth H. Blanchard,United States,Orange,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00696,1,Terri A. Scandura,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00698,1,Karlene H. Roberts,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00701,1,Jason Colquitt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00703,1,Afsaneh Nahavandi,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00705,1,James Campbell Quick,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00708,2,Michael R. Baye | Michael Baye,United States,,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00709,2,Patrick Bet-David | Greg Dinkin,United States,Tehran,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00711,1,David A. Aaker,United States,Fargo,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00713,1,Alain Verbeke,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00718,1,Alain Verbeke,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00720,1,Jeremy Kourdi,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00723,2,Peter J. Buckley | Pervez Ghauri,United Kingdom,,identifier_verified | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00724,2,Aditya Agashe | Parth Detroja,United States,,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00727,2,Myron S. Scholes | Terry Shevlin,Canada,Timmins,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00730,2,Michael R. Baye | Jeff Prince,United States,,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00733,1,Cor Molenaar,Kingdom of the Netherlands,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00734,1,Robert Greene,United States,Los Angeles,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00735,2,Myron S. Scholes | Myron Scholes,Canada,Timmins,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00737,1,Jeremy Kourdi,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00738,1,David A. Aaker,United States,Fargo,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00739,2,S. Tamer Cavusgil | Tamer Cavusgil,United States | Turkey,,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00740,2,Jesper Strandskov | Sven Hauff,Kingdom of Denmark,Frederiksberg,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00741,2,David Travis | Philip Hodgson,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00744,1,R. Duane Ireland,United States,Lima,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00745,1,Annmarie Hanlon,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00749,1,Michael R. Baye,United States,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00756,1,Peter Zámborský,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00759,1,Jerry J. Weygandt,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00761,1,Morris Hamburg,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00763,1,Max H. Bazerman,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00765,3,O. C. Ferrell | John Fraedrich | Linda Ferrell,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00766,2,S. Christian Albright | Wayne L. Winston,United States,New Jersey,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00767,1,Peter Juslin,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00768,1,Ronald C. Doll,United States,Mehoopany Township,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00769,1,Scott Plous,United States,Milwaukee,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00770,1,Jerry J. Weygandt,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00771,1,John J. Hampton,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00773,1,Deborah Stone,United Kingdom,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00775,1,David Ray Anderson,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00777,2,Thomas N. Ingram | Michael R. Williams,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00779,1,Irving Lester Janis,United States,Buffalo,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00780,1,S. Christian Albright,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00781,1,Donald E. Kieso,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00782,1,James G. March,United States,Cleveland,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00783,2,David J. Pauleen | Nazim Taskin,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00785,1,Irving L. Janis,United States,Buffalo,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00787,1,Milan Zeleny,Czech Republic | United States | Czechoslovakia,Klucké Chvalovice | Prague,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00790,1,Jerold L. Zimmerman,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00793,2,Jerry J. Weygandt | Donald E. Kieso,,,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00794,1,O. C. Ferrell,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00795,1,Nancy S. Kim,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00796,1,Allan Savory,Zimbabwe,Bulawayo,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00798,1,George Leland Bach,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00800,4,David Ray Anderson | Dennis J. Sweeney | Thomas Arthur Williams | James J. Cochran,United States,Des Moines,identifier_verified | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00801,1,Donald E. Kieso,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00802,2,Keryn Chalmers | Suzanne Byrne,,,strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00804,1,Ray H. Garrison,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00805,1,David Ray Anderson,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00806,1,Alan Barker,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00808,1,Stephen W. Littlejohn,,Los Angeles,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00809,2,Marshall B. Rosenberg | Deepak Chopra,United States | British Raj | Dominion of India | India,Canton | New Delhi,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00810,1,M. N. Hegde,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00811,1,Theodore S. Rappaport,United States,Brooklyn,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00812,1,Behrouz A. Forouzan,United States,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00815,1,Lynn H. Turner,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00817,1,Sanjay Kumar,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00820,1,John W. Blassingame,United States,Oxford,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00821,1,Stewart L. Tubbs,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00822,1,Mary Ellen Guffey,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00824,2,Larry A. Samovar | Richard E. Porter,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00825,1,Benedict Anderson,Ireland,Kunming,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00827,4,Alan O. Ebenstein | Alan Ebenstein | William Ebenstein,United States,Vienna,identifier_verified | probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00829,1,Sarah Trenholm,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00831,1,Malcolm Barnard,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00833,1,Paul Martin Lester,United States,Flushing,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00835,1,John G. Proakis,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00836,1,Sanjay Kumar,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00839,3,William B. Gudykunst | Young Yun Kim | William Gudykunst,,Manning | Seoul,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00841,2,Mark L. Knapp | Judith A. Hall,United States,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00844,1,Albert Mehrabian,United States,Iran,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00845,1,B. P. Lathi,,,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00847,1,Julia T. Wood,,,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00849,1,Everett M. Rogers,United States,Carroll,probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00850,1,Timothy Pratt,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00855,2,Stanley J. Baran | Dennis K. Davis,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00856,1,Daniel Goleman,United States,Stockton,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00857,2,Travis Bradberry | Jean Greaves,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00859,1,Daniel Goleman,United States,Stockton,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00861,1,Peter Salovey,United States,Cambridge,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00865,1,Daniel Goleman,United States,Stockton,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00866,1,Travis Bradberry,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00869,1,Gerald Matthews,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00871,3,Daniel Goleman | Annie McKee | Richard E. Boyatzis,United States,Stockton,identifier_verified | strong_secondary | probable_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00872,1,Jill Dann,United Kingdom,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00879,1,Travis Bradberry,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00890,1,Linda Wasmer Andrews,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00892,1,Moshe Zeidner,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00893,1,Joseph Ciarrochi,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00896,1,Daniel Goleman,United States,Stockton,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00905,3,Daniel Goleman | Richard E. Boyatzis | Annie McKee,United States,Stockton,identifier_verified | probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00906,1,Allan Afuah,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00909,1,Keith Goffin,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00911,1,Mark Dodgson,Australia,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00912,1,Mark Dodgson,Australia,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00913,1,Keith Goffin,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00914,1,Mohamed Zairi,,El Kouif,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00915,1,Clayton M. Christensen,United States,Salt Lake City,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00918,1,Ina Goller,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00921,2,Alexander Brem | Eric Viardot,Germany | France,Bad Kötzting,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00924,2,Stefano Biazzo | Roberto Filippini,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00925,2,Carolina Machado | J. Paulo Davim,Portugal,Águeda,probable_secondary | strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00926,1,Patrick van der Duin,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00927,2,Eric Viardot | Alexander Brem,France | Germany,Bad Kötzting,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00931,1,Stuart Macdonald,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00932,1,Peter F. Drucker,United States | Austria,Vienna,identifier_verified,Wikidata geographic claims linked through validated Open Library author identities
BOOK00933,1,David Schwartzman,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00937,1,Frank Voehl,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00938,1,Harry C. Triandis,United States | Greece,Greece | Patras,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00939,1,Kristian Wasén,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00940,1,Jordi Diaz,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00943,2,Tom R. Burns | G. M. Stalker,United States,Arkansas,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00946,1,Rob Dekkers,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00948,2,Xi Zhang | Kwok Tai Chui,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00949,1,Wendy Wu,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
BOOK00950,2,Miltiadis D. Lytras | Andreea Claudia Serban,,,strong_secondary,Wikidata geographic claims linked through validated Open Library author identities
