wikidata_geo_qid,wikidata_geo_label,wikidata_geo_description
Q664,New Zealand,island country in the southwest Pacific Ocean
Q668,India,country in South Asia
Q676421,Clinton,"city in, and the county seat of, Clinton County, Iowa, United States"
Q6809717,Mehoopany Township,"township in Wyoming County, Pennsylvania"
Q71,Geneva,"capital of the canton of Geneva, Switzerland"
Q727,Amsterdam,capital and most populous city of the Netherlands
Q736742,Wimbledon,suburb of London
Q7440408,Seaforth,"human settlement in Huron East, Ontario, Canada"
Q756617,Kingdom of Denmark,transcontinental sovereign state and constitutional monarchy
Q794,Iran,country in Western Asia
Q801,Israel,country in West Asia
Q84,London,capital and largest city of England and the United Kingdom
Q8684,Seoul,capital and largest city of South Korea
Q90,Paris,capital and most populous city in France
Q954,Zimbabwe,sovereign state in southern Africa
Q954505,Dubroŭna,city in Belarus
Q983451,Río Cuarto,"city in Cordoba, Argentina"
Q983974,Lima,"city in and county seat of Allen County, Ohio, United States"
Q987,New Delhi,capital city of India
Q991310,Timmins,"city in Ontario, Canada"
Q998893,East Liverpool,"city in Columbiana County, Ohio, United States"
