book_id,canonical_title,authors,description,subjects,first_publish_year,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count,cover_url,openlibrary_key,source_openlibrary,source_leadershipnow,publication_year_observed,title_normalized,has_authors,has_description,has_subjects,has_cover,has_rating,has_engagement,has_extended_text,has_first_publish_year,has_observed_publication_year,book_age_from_first_publish,years_since_observed_publication,log1p_ratings_count,log1p_want_to_read_count,log1p_currently_reading_count,log1p_already_read_count,log1p_edition_count,total_reader_engagement,log1p_total_reader_engagement,format,page_count,has_edition_metadata,has_page_count,is_hardcover,is_paperback,log1p_page_count,format_edition,page_count_edition,has_edition_metadata_edition,has_page_count_edition,is_hardcover_edition,is_paperback_edition,log1p_page_count_edition,title_text,authors_text,subjects_text,description_text,content_text,content_word_count,content_char_count,has_title_text,has_author_text,has_subject_text,has_description_text,content_component_count,content_depth,source_group,core_content_text,enriched_content_text,core_word_count,enriched_word_count,additional_semantic_words
BOOK01450,Protect Your Peace,['Trent Shelton'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781401973162.jpg,,False,True,2024.0,protect your peace,1,0,0,1,0,0,0,0,1,,2.0,,,,,,,,Hardcover,216.0,1,1,1,0,5.37989735354046,Hardcover,216.0,1.0,1.0,1.0,0.0,5.37989735354046,Protect Your Peace,Trent Shelton,,,Protect Your Peace Trent Shelton,5,32,1,1,0,0,2,Basic,LeadershipNow only,Protect Your Peace Trent Shelton,Protect Your Peace Trent Shelton,5,5,0
BOOK01451,Success Is a Numbers Game,['Kyle Austin Young'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781401975425.jpg,,False,True,2025.0,success is a numbers game,1,0,0,1,0,0,0,0,1,,1.0,,,,,,,,Hardcover,240.0,1,1,1,0,5.484796933490655,Hardcover,240.0,1.0,1.0,1.0,0.0,5.484796933490655,Success Is a Numbers Game,Kyle Austin Young,,,Success Is a Numbers Game Kyle Austin Young,8,43,1,1,0,0,2,Basic,LeadershipNow only,Success Is a Numbers Game Kyle Austin Young,Success Is a Numbers Game Kyle Austin Young,8,8,0
BOOK01452,Breaking Bias,['Anu Gupta'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781401977313.jpg,,False,True,2024.0,breaking bias,1,0,0,1,0,0,0,0,1,,2.0,,,,,,,,Hardcover,400.0,1,1,1,0,5.993961427306569,Hardcover,400.0,1.0,1.0,1.0,0.0,5.993961427306569,Breaking Bias,Anu Gupta,,,Breaking Bias Anu Gupta,4,23,1,1,0,0,2,Basic,LeadershipNow only,Breaking Bias Anu Gupta,Breaking Bias Anu Gupta,4,4,0
BOOK01453,Intentionality,['Finnian Kelly'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781401977542.jpg,,False,True,2024.0,intentionality,1,0,0,1,0,0,0,0,1,,2.0,,,,,,,,Hardcover,296.0,1,1,1,0,5.6937321388027,Hardcover,296.0,1.0,1.0,1.0,0.0,5.6937321388027,Intentionality,Finnian Kelly,,,Intentionality Finnian Kelly,3,28,1,1,0,0,2,Basic,LeadershipNow only,Intentionality Finnian Kelly,Intentionality Finnian Kelly,3,3,0
BOOK01454,7 Rules of Self-Reliance,['Maha Abouelenein'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781401978662.jpg,,False,True,2024.0,7 rules of self-reliance,1,0,0,1,0,0,0,0,1,,2.0,,,,,,,,Hardcover,320.0,1,1,1,0,5.771441123130016,Hardcover,320.0,1.0,1.0,1.0,0.0,5.771441123130016,7 Rules of Self-Reliance,Maha Abouelenein,,,7 Rules of Self-Reliance Maha Abouelenein,6,41,1,1,0,0,2,Basic,LeadershipNow only,7 Rules of Self-Reliance Maha Abouelenein,7 Rules of Self-Reliance Maha Abouelenein,6,6,0
BOOK01455,Unicorn Team,['Jen Kem'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781401980276.jpg,,False,True,2025.0,unicorn team,1,0,0,1,0,0,0,0,1,,1.0,,,,,,,,Hardcover,320.0,1,1,1,0,5.771441123130016,Hardcover,320.0,1.0,1.0,1.0,0.0,5.771441123130016,Unicorn Team,Jen Kem,,,Unicorn Team Jen Kem,4,20,1,1,0,0,2,Basic,LeadershipNow only,Unicorn Team Jen Kem,Unicorn Team Jen Kem,4,4,0
BOOK01456,12 Notes,['Quincy Jones'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781419752568.jpg,,False,True,2022.0,12 notes,1,0,0,1,0,0,0,0,1,,4.0,,,,,,,,Hardcover,192.0,1,1,1,0,5.262690188904886,Hardcover,192.0,1.0,1.0,1.0,0.0,5.262690188904886,12 Notes,Quincy Jones,,,12 Notes Quincy Jones,4,21,1,1,0,0,2,Basic,LeadershipNow only,12 Notes Quincy Jones,12 Notes Quincy Jones,4,4,0
BOOK01457,Trust Matters More Than Ever,['David Horsager'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781424568918.jpg,,False,True,2024.0,trust matters more than ever,1,0,0,1,0,0,0,0,1,,2.0,,,,,,,,Hardcover,304.0,1,1,1,0,5.720311776607412,Hardcover,304.0,1.0,1.0,1.0,0.0,5.720311776607412,Trust Matters More Than Ever,David Horsager,,,Trust Matters More Than Ever David Horsager,7,43,1,1,0,0,2,Basic,LeadershipNow only,Trust Matters More Than Ever David Horsager,Trust Matters More Than Ever David Horsager,7,7,0
BOOK01458,The Compass Within,['Robert Glazer'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781464245190.jpg,,False,True,2025.0,the compass within,1,0,0,1,0,0,0,0,1,,1.0,,,,,,,,Hardcover,240.0,1,1,1,0,5.484796933490655,Hardcover,240.0,1.0,1.0,1.0,0.0,5.484796933490655,The Compass Within,Robert Glazer,,,The Compass Within Robert Glazer,5,32,1,1,0,0,2,Basic,LeadershipNow only,The Compass Within Robert Glazer,The Compass Within Robert Glazer,5,5,0
BOOK01459,Lying Numbers,['Hugh Barker'],,[],,,,,,,,https://www.leadershipnow.com/leadershop/images/9781472143617.jpg,,False,True,2022.0,lying numbers,1,0,0,1,0,0,0,0,1,,4.0,,,,,,,,Paperback,256.0,1,1,0,1,5.54907608489522,Paperback,256.0,1.0,1.0,0.0,1.0,5.54907608489522,Lying Numbers,Hugh Barker,,,Lying Numbers Hugh Barker,4,25,1,1,0,0,2,Basic,LeadershipNow only,Lying Numbers Hugh Barker,Lying Numbers Hugh Barker,4,4,0
