metric,value
canonical_books,2067
feature_columns,69
engineered_features,44
books_with_authors,2059
books_with_subjects,826
books_with_descriptions,192
books_with_ratings,282
books_with_engagement,807
books_with_edition_metadata,1120
books_with_page_count,1119
minimal_content_books,3
basic_content_books,1240
enriched_content_books,635
rich_content_books,189
openlibrary_only_books,947
leadershipnow_only_books,1117
both_source_books,3
