feature,PC1,PC2,PC3
log1p_want_to_read_count,0.5128237204775241,-0.24684024713200214,-0.007807964863644081
log1p_currently_reading_count,0.5119368389134843,-0.2536329338347981,-0.10737057916658059
log1p_already_read_count,0.48230958243719924,-0.33198041947151957,-0.07206768270597676
log1p_edition_count,0.37079370488707775,0.49263487496134367,0.7834689440198699
book_age_from_first_publish,0.32376225812195814,0.7223850139153638,-0.607777308954441
