book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00065,2013,4,[],0,[],0,"['Wiley & Sons, Incorporated, John', 'Jossey-Bass']",2,no_geographic_evidence
BOOK00066,2008,3,['nyu'],1,"['Armonk, N.Y']",1,"['Taylor & Francis Group', 'M.E. Sharpe', 'Routledge']",3,single_country_evidence
BOOK00067,2017,4,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00068,2010,2,['cau'],1,['San Francisco'],1,"['Jossey-Bass, a Wiley Imprint', 'Jossey-Bass']",2,single_country_evidence
BOOK00069,2000,1,[],0,[],0,['Great Potential Press'],1,no_geographic_evidence
BOOK00070,2010,1,[],0,[],0,['Palgrave Macmillan'],1,no_geographic_evidence
BOOK00071,2009,2,['mau'],1,"['Malden, MA']",1,"['Wiley & Sons, Incorporated, John', 'Wiley-Blackwell', 'Wiley-Interscience']",3,single_country_evidence
BOOK00072,2015,2,[],0,[],0,"['Elgar Publishing Limited, Edward']",1,no_geographic_evidence
BOOK00073,2019,5,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00074,2001,3,[],0,[],0,"['Taylor & Francis Group', 'Lawrence Erlbaum']",2,no_geographic_evidence
BOOK00075,2018,2,[],0,[],0,"['Kogan Page, Limited', 'Kogan Page']",2,no_geographic_evidence
BOOK00076,2015,6,[],0,[],0,"['Taylor & Francis Group', 'Routledge']",2,no_geographic_evidence
BOOK00077,2012,3,[],0,[],0,"['Wiley & Sons, Incorporated, John']",1,no_geographic_evidence
BOOK00078,2003,5,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00079,2012,5,[],0,[],0,"['Routledge', 'Taylor & Francis Group']",2,no_geographic_evidence
BOOK00080,2011,1,['cau'],1,['San Francisco'],1,['Jossey-Bass'],1,single_country_evidence
BOOK00081,2001,5,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00082,2021,1,[],0,[],0,['Independently Published'],1,no_geographic_evidence
BOOK00083,2011,1,['cau'],1,['Thousand Oaks'],1,['SAGE Publications'],1,single_country_evidence
BOOK00084,2009,1,[],0,[],0,['Global Disciples'],1,no_geographic_evidence
BOOK00085,2014,4,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
