field,available,coverage_pct
canonical_title,2067,100.0
authors,2059,99.61
description,192,9.29
subjects,826,39.96
first_publish_year,947,45.82
publication_year_observed,1117,54.04
average_rating,282,13.64
ratings_count,282,13.64
cover_url,1888,91.34
