edition_id,book_id,scrape_id,isbn_source,isbn_normalized,isbn_13,isbn_status,publisher,publication_date,publication_year,format,page_count,edition_note,cover_url,external_book_url,source_metadata_conflict
EDITION00915,BOOK01862,702,9781944660567,9781944660567,9781944660567,Valid ISBN-13,World Scientific Publishing Company,2023-06-28,2023,Hardcover,360.0,,https://www.leadershipnow.com/leadershop/images/9781944660567.jpg,https://amzn.to/3FvMo9W,False
EDITION00916,BOOK01863,811,978194663316X,978194663316X,978194663316X,Invalid characters,ForbesBooks,2023-01-03,2023,Hardcover,176.0,,https://www.leadershipnow.com/leadershop/images/978194663316X.jpg,https://amzn.to/3HReL2G,False
EDITION00917,BOOK01864,236,9781947297999,9781947297999,9781947297999,Valid ISBN-13,Dexterity,2025-01-16,2025,Hardcover,240.0,,https://www.leadershipnow.com/leadershop/images/9781947297999.jpg,https://amzn.to/4ga8TBa,False
EDITION00918,BOOK01865,471,9781950476787,9781950476787,9781950476787,Valid ISBN-13,Burning Soul Press,2024-03-06,2024,Paperback,142.0,,https://www.leadershipnow.com/leadershop/images/9781950476787.jpg,https://amzn.to/48vPcjz,False
EDITION00919,BOOK01866,565,9781950508426,9781950508426,9781950508426,Valid ISBN-13,IT Revolution Press,2023-11-27,2023,Hardcover,384.0,,https://www.leadershipnow.com/leadershop/images/9781950508426.jpg,https://amzn.to/3tEUOJt,False
EDITION00920,BOOK01867,612,9781950508754,9781950508754,9781950508754,Valid ISBN-13,IT Revolution Press,2023-09-12,2023,Paperback,288.0,,https://www.leadershipnow.com/leadershop/images/9781950508754.jpg,https://amzn.to/43WP8ad,False
EDITION00921,BOOK01868,871,9781950863402,9781950863402,9781950863402,Valid ISBN-13,ForbesBooks,2022-11-17,2022,Hardcover,168.0,,https://www.leadershipnow.com/leadershop/images/9781950863402.jpg,https://amzn.to/3U6sMPN,False
EDITION00922,BOOK01869,986,9781950863976,9781950863976,9781950863976,Valid ISBN-13,ForbesBooks,2022-06-14,2022,Hardcover,216.0,,https://www.leadershipnow.com/leadershop/images/9781950863976.jpg,https://amzn.to/3yoGGUS,False
EDITION00923,BOOK01870,480,9781951692360,9781951692360,9781951692360,Valid ISBN-13,Modern Wisdom Press,2024-03-21,2024,Paperback,252.0,,https://www.leadershipnow.com/leadershop/images/9781951692360.jpg,https://amzn.to/3uVGBsD,False
EDITION00924,BOOK01871,275,9781951963248,9781951963248,9781951963248,Valid ISBN-13,Trope Publishing Co.,2024-11-12,2024,Hardcover,96.0,,https://www.leadershipnow.com/leadershop/images/9781951963248.jpg,https://amzn.to/3WEcfoa,False
EDITION00925,BOOK01872,1052,9781952157738,9781952157738,9781952157738,Valid ISBN-13,Association for Talent Development,2022-03-08,2022,Paperback,176.0,,https://www.leadershipnow.com/leadershop/images/9781952157738.jpg,https://amzn.to/34xan9m,False
