book_id,average_rating,ratings_count,edition_count,want_to_read_count,currently_reading_count,already_read_count
BOOK00126,,,1.0,,,
BOOK00127,,,2.0,,,
BOOK00128,,,1.0,,,
BOOK00129,,,1.0,,,
BOOK00130,,,3.0,1.0,0.0,0.0
BOOK00131,,,7.0,,,
BOOK00132,,,1.0,,,
BOOK00133,,,1.0,,,
BOOK00134,,,2.0,,,
BOOK00135,,,1.0,,,
BOOK00136,,,2.0,,,
BOOK00137,,,1.0,,,
BOOK00138,,,1.0,,,
BOOK00139,,,1.0,,,
BOOK00140,,,3.0,,,
BOOK00141,,,1.0,,,
BOOK00142,,,1.0,,,
BOOK00143,,,1.0,,,
BOOK00144,,,1.0,,,
BOOK00145,,,1.0,1.0,0.0,1.0
BOOK00146,,,6.0,,,
BOOK00147,,,4.0,,,
BOOK00148,,,1.0,2.0,0.0,0.0
BOOK00149,,,2.0,1.0,0.0,0.0
BOOK00150,3.909091,11.0,14.0,161.0,6.0,14.0
BOOK00151,,,2.0,3.0,0.0,0.0
BOOK00152,,,1.0,3.0,0.0,0.0
BOOK00153,,,5.0,4.0,0.0,0.0
BOOK00154,,,2.0,1.0,0.0,0.0
BOOK00155,,,3.0,1.0,0.0,0.0
BOOK00156,,,1.0,1.0,0.0,0.0
BOOK00157,,,1.0,1.0,0.0,0.0
BOOK00158,,,2.0,1.0,0.0,0.0
BOOK00159,,,5.0,,,
BOOK00160,,,4.0,,,
BOOK00161,,,6.0,,,
BOOK00162,,,1.0,1.0,0.0,0.0
BOOK00163,,,11.0,6.0,1.0,0.0
BOOK00164,,,2.0,0.0,0.0,0.0
BOOK00165,,,1.0,1.0,0.0,0.0
BOOK00166,,,1.0,1.0,0.0,0.0
BOOK00167,4.117647,17.0,11.0,455.0,31.0,22.0
BOOK00168,,,2.0,,,
BOOK00169,,,3.0,0.0,0.0,0.0
BOOK00170,,,2.0,,,
BOOK00171,,,2.0,,,
BOOK00172,,,2.0,,,
BOOK00173,,,2.0,,,
BOOK00174,,,5.0,,,
BOOK00175,,,3.0,,,
BOOK00176,,,1.0,1.0,0.0,0.0
BOOK00177,,,2.0,,,
BOOK00178,,,6.0,,,
BOOK00179,,,1.0,,,
BOOK00180,,,1.0,,,
BOOK00181,,,1.0,,,
BOOK00182,,,1.0,,,
BOOK00183,,,4.0,,,
BOOK00184,4.75,4.0,1.0,8.0,0.0,8.0
BOOK00185,,,2.0,,,
BOOK00186,,,1.0,,,
BOOK00187,,,1.0,,,
BOOK00188,,,8.0,11.0,0.0,0.0
BOOK00189,4.5,6.0,5.0,46.0,3.0,7.0
BOOK00190,,,2.0,,,
BOOK00191,,,1.0,,,
BOOK00192,,,1.0,,,
BOOK00193,,,3.0,13.0,1.0,1.0
BOOK00194,,,3.0,3.0,1.0,1.0
BOOK00195,0.0,0.0,9.0,3.0,0.0,0.0
BOOK00196,,,2.0,7.0,2.0,0.0
BOOK00197,,,4.0,1.0,0.0,0.0
BOOK00198,,,2.0,3.0,0.0,0.0
BOOK00199,,,5.0,1.0,0.0,0.0
BOOK00200,,,6.0,1.0,0.0,0.0
BOOK00201,,,1.0,2.0,0.0,0.0
BOOK00202,,,1.0,4.0,0.0,0.0
BOOK00203,,,1.0,2.0,0.0,0.0
BOOK00204,,,1.0,2.0,0.0,0.0
BOOK00205,,,1.0,2.0,0.0,0.0
BOOK00206,,,3.0,1.0,0.0,0.0
BOOK00207,,,4.0,1.0,0.0,0.0
BOOK00208,,,2.0,2.0,0.0,0.0
BOOK00209,,,11.0,0.0,1.0,0.0
BOOK00210,,,3.0,1.0,0.0,0.0
BOOK00211,,,1.0,2.0,0.0,0.0
BOOK00212,,,3.0,1.0,0.0,0.0
BOOK00213,,,2.0,1.0,0.0,0.0
BOOK00214,,,1.0,1.0,0.0,0.0
BOOK00215,,,1.0,1.0,0.0,0.0
BOOK00216,,,1.0,1.0,0.0,0.0
BOOK00217,,,3.0,1.0,0.0,0.0
BOOK00218,,,2.0,1.0,0.0,0.0
BOOK00219,,,1.0,1.0,0.0,0.0
BOOK00220,,,2.0,0.0,1.0,0.0
BOOK00221,,,3.0,,,
BOOK00222,,,1.0,3.0,0.0,0.0
BOOK00223,,,3.0,,,
BOOK00224,,,3.0,1.0,0.0,0.0
BOOK00225,,,4.0,,,
BOOK00226,,,1.0,1.0,0.0,0.0
BOOK00227,,,5.0,,,
BOOK00228,,,1.0,1.0,0.0,0.0
BOOK00229,0.0,0.0,1.0,1.0,0.0,0.0
BOOK00230,,,5.0,,,
BOOK00231,,,2.0,,,
BOOK00232,,,6.0,,,
BOOK00233,,,3.0,,,
BOOK00234,,,4.0,30.0,1.0,1.0
BOOK00235,,,3.0,3.0,4.0,1.0
BOOK00236,,,5.0,8.0,0.0,0.0
BOOK00237,,,1.0,17.0,0.0,1.0
BOOK00238,,,2.0,5.0,0.0,0.0
BOOK00239,,,7.0,6.0,0.0,0.0
BOOK00240,,,2.0,4.0,0.0,0.0
BOOK00241,,,1.0,5.0,1.0,0.0
BOOK00242,,,1.0,3.0,0.0,0.0
BOOK00243,,,1.0,9.0,2.0,0.0
BOOK00244,,,1.0,3.0,0.0,0.0
BOOK00245,,,1.0,3.0,0.0,0.0
BOOK00246,,,1.0,2.0,0.0,0.0
BOOK00247,,,1.0,3.0,0.0,0.0
BOOK00248,,,3.0,2.0,0.0,0.0
BOOK00249,,,2.0,2.0,0.0,0.0
BOOK00250,,,1.0,1.0,0.0,0.0
BOOK00251,,,1.0,1.0,0.0,0.0
BOOK00252,,,1.0,1.0,0.0,0.0
BOOK00253,,,6.0,,,
BOOK00254,,,1.0,2.0,0.0,0.0
BOOK00255,,,1.0,3.0,1.0,0.0
BOOK00256,,,1.0,2.0,0.0,0.0
BOOK00257,,,2.0,1.0,0.0,0.0
BOOK00258,,,5.0,,,
BOOK00259,,,2.0,1.0,0.0,0.0
BOOK00260,,,1.0,1.0,0.0,0.0
BOOK00261,,,2.0,1.0,0.0,0.0
BOOK00262,,,2.0,1.0,0.0,0.0
BOOK00263,,,1.0,1.0,0.0,0.0
BOOK00264,,,1.0,2.0,0.0,0.0
BOOK00265,,,4.0,,,
BOOK00266,,,2.0,,,
BOOK00267,3.0,1.0,4.0,16.0,1.0,2.0
BOOK00268,,,1.0,2.0,0.0,0.0
BOOK00269,,,3.0,,,
BOOK00270,,,5.0,,,
BOOK00271,,,2.0,,,
BOOK00272,,,3.0,0.0,1.0,0.0
BOOK00273,,,1.0,,,
BOOK00274,,,4.0,,,
BOOK00275,,,1.0,1.0,0.0,0.0
BOOK00276,,,1.0,1.0,0.0,0.0
BOOK00277,,,2.0,,,
BOOK00278,,,2.0,,,
BOOK00279,,,3.0,,,
BOOK00280,,,2.0,2.0,0.0,0.0
BOOK00281,4.0555553,36.0,66.0,1351.0,125.0,73.0
BOOK00282,4.1,10.0,95.0,686.0,59.0,30.0
BOOK00283,4.44,50.0,1.0,1087.0,87.0,154.0
BOOK00284,4.125,8.0,6.0,366.0,30.0,17.0
BOOK00285,4.111111,9.0,23.0,215.0,24.0,14.0
BOOK00286,3.8333333,12.0,16.0,221.0,21.0,19.0
BOOK00287,4.25,8.0,25.0,162.0,17.0,12.0
BOOK00288,3.6923077,13.0,12.0,411.0,59.0,7.0
BOOK00289,3.5714285,7.0,39.0,125.0,4.0,9.0
BOOK00290,4.2,5.0,55.0,253.0,14.0,3.0
BOOK00291,4.0,4.0,28.0,135.0,11.0,8.0
BOOK00292,4.2,15.0,7.0,152.0,8.0,19.0
BOOK00293,4.75,4.0,29.0,199.0,15.0,8.0
BOOK00294,4.8333335,6.0,43.0,128.0,9.0,7.0
BOOK00295,4.625,8.0,2.0,263.0,17.0,6.0
BOOK00296,4.8,5.0,45.0,169.0,16.0,7.0
BOOK00297,5.0,2.0,37.0,130.0,10.0,4.0
BOOK00298,4.0,4.0,11.0,168.0,11.0,5.0
BOOK00299,5.0,1.0,13.0,109.0,10.0,1.0
BOOK00300,5.0,3.0,20.0,100.0,11.0,4.0
BOOK00301,3.6666667,3.0,37.0,87.0,4.0,4.0
BOOK00302,4.6,5.0,21.0,138.0,9.0,9.0
BOOK00303,4.0,3.0,5.0,102.0,10.0,6.0
BOOK00304,4.5,2.0,17.0,130.0,13.0,2.0
BOOK00305,4.0,2.0,34.0,118.0,9.0,4.0
BOOK00306,3.0,1.0,11.0,70.0,8.0,2.0
BOOK00307,4.0,3.0,39.0,89.0,7.0,2.0
BOOK00308,3.6666667,3.0,8.0,218.0,18.0,2.0
BOOK00309,5.0,2.0,15.0,109.0,10.0,5.0
BOOK00310,3.5,4.0,18.0,108.0,9.0,4.0
BOOK00311,4.8,5.0,14.0,107.0,7.0,2.0
BOOK00312,3.0,6.0,15.0,86.0,9.0,4.0
BOOK00313,,,18.0,61.0,4.0,3.0
BOOK00314,3.8,5.0,4.0,145.0,17.0,7.0
BOOK00315,4.0,11.0,15.0,100.0,7.0,16.0
BOOK00316,4.5454545,11.0,14.0,268.0,31.0,11.0
BOOK00317,5.0,2.0,20.0,188.0,12.0,4.0
BOOK00318,5.0,1.0,25.0,48.0,10.0,5.0
BOOK00319,5.0,2.0,14.0,80.0,8.0,4.0
BOOK00320,3.0,1.0,21.0,58.0,5.0,4.0
BOOK00321,2.8333333,6.0,3.0,262.0,28.0,2.0
BOOK00322,,,28.0,52.0,2.0,3.0
BOOK00323,4.75,4.0,12.0,176.0,10.0,5.0
BOOK00324,5.0,1.0,12.0,78.0,5.0,1.0
BOOK00325,5.0,2.0,7.0,63.0,3.0,4.0
BOOK00326,5.0,1.0,28.0,41.0,7.0,3.0
BOOK00327,5.0,1.0,19.0,48.0,4.0,4.0
BOOK00328,5.0,2.0,21.0,50.0,8.0,3.0
BOOK00329,4.6666665,3.0,6.0,71.0,4.0,5.0
BOOK00330,,,25.0,61.0,6.0,2.0
BOOK00331,3.75,4.0,1.0,131.0,9.0,4.0
BOOK00332,,,6.0,6.0,0.0,0.0
BOOK00333,4.028777,278.0,78.0,6754.0,643.0,328.0
BOOK00334,,,4.0,19.0,0.0,0.0
BOOK00335,5.0,1.0,1.0,4.0,0.0,1.0
BOOK00336,,,9.0,9.0,0.0,0.0
BOOK00337,,,17.0,51.0,1.0,1.0
BOOK00338,,,5.0,,,
BOOK00339,,,4.0,6.0,0.0,0.0
BOOK00340,,,6.0,,,
BOOK00341,,,1.0,3.0,0.0,0.0
BOOK00342,,,7.0,,,
BOOK00343,0.0,0.0,3.0,1.0,0.0,0.0
BOOK00344,,,6.0,,,
BOOK00345,,,3.0,,,
BOOK00346,,,2.0,1.0,0.0,0.0
BOOK00347,,,1.0,,,
BOOK00348,,,4.0,,,
BOOK00349,,,5.0,,,
BOOK00350,,,6.0,20.0,1.0,1.0
BOOK00351,4.0,5.0,72.0,37.0,5.0,9.0
BOOK00352,,,1.0,1.0,0.0,0.0
BOOK00353,,,5.0,,,
BOOK00354,,,3.0,5.0,0.0,0.0
BOOK00355,,,3.0,1.0,1.0,0.0
BOOK00356,,,1.0,1.0,0.0,0.0
BOOK00357,,,2.0,1.0,0.0,0.0
BOOK00358,,,2.0,,,
BOOK00359,,,1.0,1.0,0.0,0.0
BOOK00360,,,6.0,,,
BOOK00361,,,5.0,2.0,0.0,0.0
BOOK00362,,,2.0,,,
BOOK00363,,,1.0,1.0,0.0,0.0
BOOK00364,,,1.0,1.0,0.0,0.0
BOOK00365,,,1.0,1.0,0.0,0.0
BOOK00366,,,2.0,,,
BOOK00367,,,6.0,,,
BOOK00368,,,1.0,,,
BOOK00369,,,3.0,,,
BOOK00370,,,3.0,,,
BOOK00371,5.0,1.0,7.0,9.0,4.0,0.0
BOOK00372,,,1.0,,,
BOOK00373,,,1.0,,,
BOOK00374,3.0,1.0,14.0,40.0,3.0,3.0
BOOK00375,,,1.0,,,
BOOK00376,,,1.0,,,
BOOK00377,,,1.0,,,
BOOK00378,,,2.0,,,
BOOK00379,,,2.0,,,
BOOK00380,,,3.0,,,
BOOK00381,1.0,1.0,24.0,48.0,4.0,2.0
BOOK00382,1.0,1.0,9.0,30.0,3.0,1.0
BOOK00383,5.0,3.0,1.0,95.0,5.0,6.0
BOOK00384,5.0,1.0,32.0,26.0,2.0,0.0
BOOK00385,4.0,1.0,30.0,18.0,1.0,1.0
BOOK00386,5.0,1.0,6.0,13.0,2.0,1.0
BOOK00387,,,29.0,24.0,0.0,0.0
BOOK00388,,,62.0,15.0,1.0,0.0
BOOK00389,,,9.0,13.0,0.0,0.0
BOOK00390,,,13.0,13.0,1.0,0.0
BOOK00391,,,7.0,8.0,0.0,1.0
BOOK00392,0.0,0.0,6.0,14.0,2.0,0.0
BOOK00393,5.0,1.0,2.0,24.0,4.0,0.0
BOOK00394,,,8.0,7.0,0.0,0.0
BOOK00395,,,1.0,20.0,0.0,0.0
BOOK00396,3.0,1.0,19.0,19.0,1.0,2.0
BOOK00397,5.0,1.0,3.0,21.0,2.0,2.0
BOOK00398,,,2.0,18.0,0.0,0.0
BOOK00399,,,8.0,7.0,0.0,0.0
BOOK00400,,,6.0,13.0,1.0,0.0
BOOK00401,,,10.0,7.0,0.0,0.0
BOOK00402,5.0,1.0,13.0,5.0,0.0,1.0
BOOK00403,5.0,1.0,7.0,8.0,0.0,0.0
BOOK00404,,,3.0,7.0,3.0,0.0
BOOK00405,,,8.0,3.0,0.0,1.0
BOOK00406,,,1.0,12.0,1.0,0.0
BOOK00407,,,8.0,4.0,0.0,0.0
BOOK00408,,,5.0,5.0,2.0,1.0
BOOK00409,,,5.0,5.0,1.0,0.0
BOOK00410,,,6.0,15.0,1.0,0.0
BOOK00411,,,9.0,4.0,0.0,0.0
BOOK00412,,,3.0,7.0,1.0,0.0
BOOK00413,,,2.0,8.0,0.0,1.0
BOOK00414,,,9.0,1.0,1.0,0.0
BOOK00415,,,1.0,7.0,2.0,0.0
BOOK00416,,,16.0,1.0,0.0,0.0
BOOK00417,,,1.0,8.0,0.0,0.0
BOOK00418,,,13.0,2.0,0.0,0.0
BOOK00419,,,2.0,7.0,0.0,0.0
